[00:00.000 --> 00:04.000]  Komfortowa temperatura dla Ciebie.
[35:42.020 --> 35:44.020]  No dobrze, to jest arbuz.
[35:44.020 --> 35:45.020]  Pitch, pitch.
[35:45.020 --> 35:46.020]  Jakie owoce lubisz?
[35:46.020 --> 35:47.020]  Lubię malina, truskawka, winogrona, bardzo lubię brzoskwinia.
[35:47.020 --> 35:48.020]  Bardzo dobry biegnie.
[35:48.020 --> 35:49.020]  Mam za to gratulacje.
[35:49.020 --> 35:50.020]  Tak super, to dużo owoców lubisz.
[35:50.020 --> 35:51.020]  Tak.
[35:51.020 --> 35:52.020]  Tak.
[35:52.020 --> 35:53.020]  Ok.
[35:53.020 --> 35:54.020]  I eat every day.
[35:54.020 --> 35:55.020]  I eat every day.
[35:55.020 --> 35:56.020]  I like.
[35:56.020 --> 35:57.020]  I like it.
[35:57.020 --> 35:58.020]  Poczynkuję.
[35:58.020 --> 35:59.020]  Poczynkuję.
[35:59.020 --> 36:00.020]  Poczynkuję.
[36:00.020 --> 36:01.020]  Poczynkuję.
[36:01.020 --> 36:02.020]  Poczynkuję.
[36:02.020 --> 36:03.020]  Poczynkuję.
[36:03.020 --> 36:04.020]  Poczynkuję.
[36:04.020 --> 36:05.020]  Poczynkuję.
[36:05.020 --> 36:06.020]  Poczynkuję.
[36:06.020 --> 36:07.020]  Poczynkuję.
[36:07.020 --> 36:08.020]  Poczynkuję.
[36:08.020 --> 36:11.020]  I eat every day.
[36:11.020 --> 36:13.020]  A, jem codziennie.
[36:13.020 --> 36:15.020]  I eat every day. Jem codziennie.
[36:15.020 --> 36:16.020]  Tak?
[36:16.020 --> 36:18.020]  Jem codziennie.
[36:18.020 --> 36:20.020]  You also can say...
[36:20.020 --> 36:23.020]  Codziennie jem owoce.
[36:23.020 --> 36:25.020]  Tak?
[36:25.020 --> 36:27.020]  Codziennie jem owoce. Every day.
[36:27.020 --> 36:29.020]  I eat fruits.
[36:29.020 --> 36:31.020]  Codziennie jem owoce.
[36:31.020 --> 36:34.020]  Bardzo dobrze. Owoce są super.
[36:34.020 --> 36:36.020]  Tak.
[36:36.020 --> 36:38.020]  Tak.
[36:38.020 --> 36:40.020]  Ok.
[36:50.020 --> 36:54.020]  Dobra, a Ty? Jakie owoce lubisz?
[36:54.020 --> 36:56.020]  Tylko banan.
[36:56.020 --> 36:58.020]  Banan. Ok.
[36:58.020 --> 37:00.020]  Tak. Codziennie jem.
[37:00.020 --> 37:02.020]  Mam pytania?
[37:02.020 --> 37:04.020]  Tak.
[37:04.020 --> 37:05.020]  Ok, first one other question.
[37:05.020 --> 37:06.020]  How do you say...
[37:06.020 --> 37:08.020]  How do you pronounce this in Polish?
[37:08.020 --> 37:10.020]  What is pronouncing?
[37:10.020 --> 37:12.020]  Dobre pytanie. Bardzo dobre.
[37:12.020 --> 37:14.020]  To jest wymowa.
[37:14.020 --> 37:15.020]  Wymowa.
[37:15.020 --> 37:16.020]  Ok.
[37:16.020 --> 37:17.020]  And for example,
[37:17.020 --> 37:20.020]  where you would like to ask how to pronounce something.
[37:20.020 --> 37:23.020]  Jak to wymawiać?
[37:23.020 --> 37:25.020]  Jak to wymawiać?
[37:25.020 --> 37:27.020]  How to pronounce something?
[37:27.020 --> 37:29.020]  Jak to wymawiać?
[37:29.020 --> 37:31.020]  Bardzo dobre pytanie.
[37:31.020 --> 37:33.020]  Jak to wymawiać?
[37:33.020 --> 37:34.020]  Jak to wymawiać?
[37:34.020 --> 37:36.020]  Jak to wymawiać?
[37:36.020 --> 37:38.020]  Bardzo dobre pytanie.
[37:38.020 --> 37:39.020]  Bardzo dobre pytanie.
[37:39.020 --> 37:42.020]  Tutaj mamy dużo konsonantów.
[37:42.020 --> 37:44.020]  Więc jeśli mamy takie sytuacje,
[37:44.020 --> 37:46.020]  zwłaszcza z ,
[37:46.020 --> 37:48.020]  więc nie martwcie się,
[37:48.020 --> 37:50.020]  można powiedzieć .
[37:50.020 --> 37:52.020]  Jest łatwiej dla naszych kwiatów
[37:52.020 --> 37:54.020]  i procesu mówienia.
[37:54.020 --> 37:57.020]  Więc będzie .
[37:57.020 --> 37:59.020]  Możemy zacząć od N.
[37:59.020 --> 38:02.020]  Więc będzie .
[38:02.020 --> 38:06.020]  Mówimy Saturday Kurwa ,
[38:06.020 --> 38:07.020]  conduct our times.
[38:07.020 --> 38:12.020]  Jeżeli darnu już wtszczycie stwór jest chcemy,
[38:12.020 --> 38:14.020]  secondary summit talking on,
[38:14.020 --> 38:23.020]  poprosimy pan novo ,
[38:23.020 --> 38:26.020]  pan novo o chatu,
[38:26.020 --> 38:29.020]  coalice emit.
[38:29.020 --> 38:30.020]  Cause ,
[38:30.020 --> 38:35.020]  A jeśli byłaby piosenka P, jak to byś to wypowiadała?
[38:35.020 --> 38:40.020]  Jeśli byłaby P, to byłoby trochę bliżej do SZ.
[38:40.020 --> 38:42.020]  SZ. SZ. SZ. SZ.
[38:42.020 --> 38:44.020]  Jak przepraszam.
[38:44.020 --> 38:46.020]  Tak, tak.
[38:46.020 --> 38:55.020]  Bardzo dobry pytanie, bo zwłaszcza w tych dwóch słowach można słyszeć inne mowa.
[38:55.020 --> 39:00.020]  Więc z B będzie brzoskwinia.
[39:00.020 --> 39:07.020]  Ale kiedy zmienimy na przepraszam, nawet jeśli mamy tu wciąż jedną słowę,
[39:07.020 --> 39:12.020]  jak SZ, to mówimy P. Przepraszam.
[39:12.020 --> 39:13.020]  Przepraszam.
[39:13.020 --> 39:15.020]  Więc zadaj pytanie.
[39:15.020 --> 39:20.020]  Brzoskwinia i przepraszamy.
[39:20.020 --> 39:25.020]  Widzisz, to samo piosenka, ale powiemy P.
[39:25.020 --> 39:28.020]  Przepraszam.
[39:28.020 --> 39:32.020]  Tak, to jest zmiana w pronomu.
[39:32.020 --> 39:39.020]  A tutaj brzoskwinia.
[39:39.020 --> 39:40.020]  Brzoskwinia.
[39:40.020 --> 39:43.020]  A jeśli byłaby piosenka K, to K.
[39:43.020 --> 39:47.020]  Czyli jak K, R, Z, jeśli...
[39:47.020 --> 39:50.020]  Piosenka dla blucia, prawda? K, R, Z, Y.
[39:50.020 --> 39:51.020]  Czy?
[39:51.020 --> 39:52.020]  Czy?
[39:52.020 --> 39:53.020]  Czy?
[39:53.020 --> 39:54.020]  Czy?
[39:54.020 --> 39:55.020]  Czy?
[39:55.020 --> 40:00.020]  To jest jak krzyczeć, to jest krzyma.
[40:00.020 --> 40:01.020]  Krzy.
[40:01.020 --> 40:02.020]  Krzy.
[40:02.020 --> 40:03.020]  Krzy.
[40:03.020 --> 40:04.020]  Krzy.
[40:04.020 --> 40:05.020]  Ok.
[40:05.020 --> 40:06.020]  Krzy.
[40:06.020 --> 40:07.020]  Mhm.
[40:07.020 --> 40:08.020]  Dobrze.
[40:08.020 --> 40:09.020]  Ok.
[40:09.020 --> 40:10.020]  Dobre pytanie.
[40:10.020 --> 40:11.020]  W porządku?
[40:11.020 --> 40:12.020]  Brzoskwinia.
[40:12.020 --> 40:13.020]  Ok?
[40:13.020 --> 40:14.020]  Tak.
[40:14.020 --> 40:15.020]  No to dobrze.
[40:15.020 --> 40:18.020]  To mamy brzoskwinie.
[40:18.020 --> 40:23.020]  I Aja, no, a Ty jakie owoce lubisz, preferujesz?
[40:23.020 --> 40:24.020]  Wszystko.
[40:24.020 --> 40:29.340]  Wszystko, tak? Wow, super, bardzo fajnie, wszystko.
[40:29.340 --> 40:35.140]  To jest następna sekcja, to są warzywa.
[40:35.140 --> 40:36.540]  Warzywa.
[40:36.540 --> 40:39.820]  Here we can read like we see.
[40:39.820 --> 40:41.740]  We can say like we see.
[40:41.740 --> 40:43.260]  Warzywa, warzywa.
[40:43.260 --> 40:46.300]  I jest klasyka. Pomidor.
[40:46.300 --> 40:47.300]  Tak.
[40:47.300 --> 40:49.300]  Górek.
[40:49.300 --> 40:50.740]  Górek, bardzo dobrze.
[40:50.740 --> 40:51.740]  Tutaj.
[40:51.740 --> 40:53.740]  Marchewka.
[40:53.740 --> 40:55.740]  Marchewka, chewka, chewka.
[40:55.740 --> 40:56.740]  Górek.
[40:56.740 --> 40:57.740]  Marchewka.
[40:57.740 --> 40:58.740]  Marchewka.
[40:58.740 --> 41:00.740]  No, jest marchewka.
[41:00.740 --> 41:03.740]  Tutaj, typowo sałata.
[41:03.740 --> 41:04.740]  Sałata.
[41:04.740 --> 41:05.740]  Tak.
[41:05.740 --> 41:07.740]  Sałata.
[41:07.740 --> 41:08.740]  O, czosnek.
[41:08.740 --> 41:09.740]  Czosnek.
[41:09.740 --> 41:10.740]  Czosnek.
[41:10.740 --> 41:11.740]  Tak, czosnek.
[41:11.740 --> 41:12.740]  Czosnek jest super.
[41:12.740 --> 41:13.740]  Czosnek.
[41:13.740 --> 41:14.740]  Tak.
[41:14.740 --> 41:15.740]  To jest garnek.
[41:15.740 --> 41:18.740]  Tak, to jest garnek, tak.
[41:18.740 --> 41:19.740]  Cebula.
[41:19.740 --> 41:20.740]  Lubicie cebulę?
[41:20.740 --> 41:21.740]  Tak.
[41:21.740 --> 41:22.740]  Trata.
[41:22.740 --> 41:23.740]  Tak.
[41:23.740 --> 41:26.740]  Polska kocha cebulę.
[41:26.740 --> 41:27.740]  We love.
[41:27.740 --> 41:28.740]  Tak?
[41:28.740 --> 41:29.740]  Jest taki mem.
[41:29.740 --> 41:31.740]  Mapa Polski.
[41:31.740 --> 41:38.740]  Because we really love onions, so we have a mem with it, but...
[41:38.740 --> 41:39.740]  O, tak?
[41:39.740 --> 41:41.740]  O, memy, tak.
[41:41.740 --> 41:43.740]  Typowa mapa Polski.
[41:43.740 --> 41:45.740]  Tak, cebula.
[41:45.740 --> 41:48.740]  Naprawdę cebulę kochamy.
[41:48.740 --> 41:50.740]  We love.
[41:50.740 --> 41:52.740]  Jest cebula.
[41:52.740 --> 41:53.740]  No dobra.
[41:53.740 --> 41:54.740]  Tutaj.
[41:54.740 --> 41:55.740]  Papryka.
[41:55.740 --> 41:56.740]  Papryka.
[41:56.740 --> 41:57.740]  Tu jest papryka chili, tak?
[41:57.740 --> 41:58.740]  Chili.
[41:58.740 --> 41:59.740]  Tu jest papryka jaka?
[41:59.740 --> 42:00.740]  Błonka, błonka?
[42:00.740 --> 42:01.740]  Czerwona.
[42:01.740 --> 42:02.740]  Czerwona.
[42:02.740 --> 42:03.740]  Tak, papryka czerwona.
[42:03.740 --> 42:04.740]  Super.
[42:04.740 --> 42:05.740]  We don't have, but if we have?
[42:05.740 --> 42:06.740]  Zielona.
[42:06.740 --> 42:07.740]  Zielona.
[42:07.740 --> 42:08.740]  Papryka zielona i żółta.
[42:08.740 --> 42:09.740]  Papryka żółta.
[42:09.740 --> 42:10.740]  Prawda, świetnie.
[42:10.740 --> 42:11.740]  I jest kapusta.
[42:11.740 --> 42:12.740]  Kapusta.
[42:12.740 --> 42:13.740]  Kapusta.
[42:13.740 --> 42:14.740]  Kapusta.
[42:14.740 --> 42:15.740]  Ok?
[42:15.740 --> 42:16.740]  Yes.
[42:16.740 --> 42:17.740]  Tak.
[42:17.740 --> 42:18.740]  Tak.
[42:18.740 --> 42:19.740]  Tak.
[42:19.740 --> 42:20.740]  Tak.
[42:20.740 --> 42:21.740]  Tak.
[42:21.740 --> 42:22.740]  Kapusta.
[42:22.740 --> 42:23.740]  Tak.
[42:23.740 --> 42:24.740]  Tak.
[42:24.740 --> 42:25.740]  Kapusta.
[42:25.740 --> 42:26.740]  Tak.
[42:26.740 --> 42:27.740]  Tak.
[42:27.740 --> 42:28.740]  No i klasyka?
[42:28.740 --> 42:29.740]  Ziemniak.
[42:29.740 --> 42:30.740]  Ziemniak.
[42:30.740 --> 42:31.740]  Tak, musi być ziemniak.
[42:31.740 --> 42:32.740]  Aha.
[42:32.740 --> 42:33.740]  Daniel, co robisz?
[42:33.740 --> 42:34.740]  Wszystko.
[42:34.740 --> 42:35.740]  Wszystko robię.
[42:35.740 --> 42:36.740]  Ziemniak, pomidor, papryka, cebula, marchewkę, marchewkę, cake.
[42:36.740 --> 42:37.740]  Tak.
[42:37.740 --> 42:38.740]  Tak.
[42:38.740 --> 42:39.740]  Tak.
[42:39.740 --> 42:40.740]  Tak.
[42:40.740 --> 42:41.740]  Tak.
[42:41.740 --> 42:42.740]  Tak.
[42:42.740 --> 42:43.740]  Tak.
[42:43.740 --> 42:44.740]  Tak.
[42:44.740 --> 42:45.740]  Tak.
[42:45.740 --> 42:46.740]  Tak.
[42:46.740 --> 42:47.740]  Tak.
[42:47.740 --> 42:48.740]  Tak.
[42:48.740 --> 42:49.740]  Tak.
[42:49.740 --> 42:50.740]  Tak.
[42:50.740 --> 42:51.740]  Tak.
[42:51.740 --> 42:52.740]  Ok.
[42:52.740 --> 42:53.740]  Ciasto.
[42:53.740 --> 42:54.740]  A ciasto, ok.
[42:54.740 --> 42:55.740]  Ok.
[42:55.740 --> 42:56.740]  Dobrze.
[42:56.740 --> 42:57.740]  Ok.
[42:57.740 --> 42:58.740]  Bardzo dużo marzy.
[42:58.740 --> 42:59.740]  Super.
[42:59.740 --> 43:00.740]  W porządku.
[43:00.740 --> 43:01.740]  I co mamy następne?
[43:01.740 --> 43:02.740]  Następna kategoria to napoje.
[43:02.740 --> 43:03.740]  Co to napoje?
[43:03.740 --> 43:04.740]  Soft drink.
[43:04.740 --> 43:05.740]  Drinks.
[43:05.740 --> 43:06.740]  Only drinks.
[43:06.740 --> 43:07.740]  Napoje.
[43:07.740 --> 43:08.740]  Napoje.
[43:08.740 --> 43:09.740]  Napoje.
[43:09.740 --> 43:10.740]  Napoje.
[43:10.740 --> 43:11.740]  Napoje.
[43:11.740 --> 43:12.740]  Napoje.
[43:12.740 --> 43:13.740]  Napoje.
[43:13.740 --> 43:14.740]  Napoje.
[43:14.740 --> 43:15.740]  Napoje.
[43:15.740 --> 43:16.740]  Napoje.
[43:16.740 --> 43:17.740]  Napoje.
[43:17.740 --> 43:18.740]  Napoje.
[43:18.740 --> 43:19.740]  Napoje.
[43:19.740 --> 43:21.740]  napoje alkoholowe.
[43:21.740 --> 43:27.740]  So it working exactly general will be like drinks, napoje.
[43:27.740 --> 43:33.740]  Napoje alkoholowe.
[43:33.740 --> 43:35.740]  Of course with.
[43:35.740 --> 43:43.740]  And when you will copy and add here bez alkoholowe will be without.
[43:43.740 --> 43:51.740]  Tu nie ma alkoholu, a tutaj oczywiście jest.
[43:51.740 --> 43:53.740]  W porządku?
[43:53.740 --> 43:55.740]  Tak.
[43:55.740 --> 43:59.740]  A co to jest po polsku koktajl?
[43:59.740 --> 44:01.740]  To jest...
[44:01.740 --> 44:03.740]  To jest trzeki.
[44:03.740 --> 44:05.740]  To nie tylko koktajl.
[44:05.740 --> 44:09.740]  To nie tylko koktajl, to jest jakiś rodzaj miksu z kwiatami.
[44:09.740 --> 44:11.740]  Tak, tak.
[44:11.740 --> 44:13.740]  Tak, tak, tak.
[44:13.740 --> 44:15.740]  Z zero alkoholu.
[44:15.740 --> 44:23.740]  Koktajl w polskiej kulturze to jest woda, alternatywa mleko plus owoce.
[44:23.740 --> 44:25.740]  Tak?
[44:25.740 --> 44:27.740]  Coś zdrowego, something healthy.
[44:27.740 --> 44:29.740]  Tak?
[44:29.740 --> 44:31.740]  Na przykład koktajl owocowy.
[44:31.740 --> 44:33.740]  Tak?
[44:33.740 --> 44:35.740]  Tak, taki typowy shake.
[44:35.740 --> 44:41.740]  Tak, taki blender i jest...
[44:41.740 --> 44:43.740]  Ok, a jak to się nazywa?
[44:43.740 --> 44:45.740]  To jest jak shake.
[44:45.740 --> 44:47.740]  Nie, nie, to jest miks.
[44:47.740 --> 44:51.740]  Czy może to być coś, które ma tylko kwiaty w nim?
[44:51.740 --> 44:55.740]  Nie tak, jak shake?
[44:55.740 --> 44:59.740]  Nie, ale tylko ma mleko i kwiaty w nim.
[44:59.740 --> 45:01.740]  Tak samo.
[45:01.740 --> 45:07.740]  Tak, kiedy masz trening, siłownia, to w zasadzie mówimy shake.
[45:07.740 --> 45:09.740]  Shake, ok.
[45:09.740 --> 45:11.740]  No, tylko z białką.
[45:11.740 --> 45:13.740]  No, tylko z białką, z proteiną.
[45:13.740 --> 45:15.740]  Ok.
[45:15.740 --> 45:17.740]  To będzie shake.
[45:17.740 --> 45:19.740]  A tutaj taki zdrowy.
[45:19.740 --> 45:21.740]  To jest jak smoothie.
[45:21.740 --> 45:23.740]  Też smoothie.
[45:23.740 --> 45:25.740]  To jest koktajl.
[45:25.740 --> 45:27.740]  Ok, a drink?
[45:27.740 --> 45:29.740]  Drink?
[45:29.740 --> 45:33.740]  A drink to jest tak jak angielski koktajl.
[45:33.740 --> 45:35.740]  Alkohol.
[45:35.740 --> 45:37.740]  To jest jak angielski koktajl.
[45:37.740 --> 45:39.740]  To będzie alkohol.
[45:39.740 --> 45:45.740]  A koktajl zdrowy, jak smoothie.
[45:45.740 --> 45:47.740]  Tak, w porządku?
[45:47.740 --> 45:51.740]  No, a napoje generalnie?
[45:51.740 --> 45:53.740]  Ok.
[45:53.740 --> 45:59.740]  I napoje może być opcja ciepłe, zimne.
[45:59.740 --> 46:01.740]  Ciepłe?
[46:01.740 --> 46:03.740]  Hard work.
[46:03.740 --> 46:05.740]  Hard work i zimne.
[46:05.740 --> 46:07.740]  Alkohol.
[46:07.740 --> 46:09.740]  Alkohol, coś tam zimne.
[46:09.740 --> 46:11.740]  Sąże, super.
[46:11.740 --> 46:13.740]  No, to...
[46:13.740 --> 46:15.740]  I...
[46:25.740 --> 46:29.740]  I mamy tutaj opcję typową.
[46:29.740 --> 46:33.740]  Jest woda niegazowana i gazowana.
[46:33.740 --> 46:37.740]  Mineralna albo niemineralizowana.
[46:37.740 --> 46:39.740]  Mineralizowana.
[46:39.740 --> 46:41.740]  Mineralizowana.
[46:41.740 --> 46:43.740]  I sok.
[46:43.740 --> 46:45.740]  Sok pomarańczowy.
[46:45.740 --> 46:47.740]  Tutaj sok jabłkowy.
[46:47.740 --> 46:49.740]  Jabłkowy.
[46:49.740 --> 46:51.740]  Tak.
[46:51.740 --> 46:53.740]  I pomidorowy.
[46:53.740 --> 46:55.740]  Pomidorowy, lubicie sok pomidorowy?
[46:57.740 --> 46:59.740]  Tak, dobrze.
[46:59.740 --> 47:01.740]  W Polsce też tu jest popularny.
[47:01.740 --> 47:07.740]  Ja nie lubię, ale dużo Polaków preferuje sok pomidorowy.
[47:07.740 --> 47:12.340]  Piję coś słodkiego, sól pomidorową.
[47:12.340 --> 47:13.340]  Jest ok.
[47:13.340 --> 47:17.840]  Wymawiać, wymawiać.
[47:17.840 --> 47:20.140]  Jabłko, jest jabłko.
[47:20.140 --> 47:22.340]  Jabłko, jabłko.
[47:22.340 --> 47:24.540]  It's working, I will show you how.
[47:24.540 --> 47:32.240]  Jabłkowy, working like jabłkowy, jabłkowy, jabłkowy.
[47:32.240 --> 47:33.540]  It's easier.
[47:33.540 --> 47:38.040]  Jedykowy.
[47:38.040 --> 47:39.540]  Here a little bit faster.
[47:39.540 --> 47:43.540]  We are doing extremely house in this place.
[47:43.540 --> 47:45.540]  Jabłkowy, jabłkowy.
[47:45.540 --> 47:50.040]  Super pytanie.
[47:50.040 --> 47:53.040]  I jest kawa.
[47:53.040 --> 47:55.040]  Kawa.
[47:55.040 --> 47:58.040]  I klasycznie herba.
[47:58.040 --> 48:00.040]  W porządku?
[48:00.040 --> 48:02.040]  No dobra.
[48:02.040 --> 48:03.040]  I tu mamy...
[48:03.040 --> 48:04.540]  Wędliny.
[48:04.540 --> 48:06.040]  Wędliny.
[48:06.040 --> 48:10.040]  It's like a various types of meat.
[48:10.040 --> 48:13.040]  Wędliny.
[48:13.040 --> 48:15.040]  Tu jest szynka.
[48:15.040 --> 48:19.540]  Szynka, lechany, salceso, opcje.
[48:19.540 --> 48:23.040]  Jest kiełbasa i parówka.
[48:23.040 --> 48:25.040]  Parówka.
[48:25.040 --> 48:28.040]  Parówki super popularne.
[48:28.040 --> 48:31.040]  To jest jak little bit like sardynki.
[48:31.040 --> 48:33.040]  But not...
[48:33.040 --> 48:35.040]  Proszę, Juliu.
[48:35.040 --> 48:37.040]  No parówki.
[48:37.040 --> 48:38.040]  Looks like a hot dog.
[48:38.040 --> 48:39.040]  Tak, tak, tak, tak.
[48:39.040 --> 48:40.040]  O.
[48:40.040 --> 48:41.040]  Ok.
[48:41.040 --> 48:42.040]  Bardzo, bardzo...
[48:42.040 --> 48:43.040]  It's like sausage.
[48:43.040 --> 48:44.040]  Tak, to jest jak sausage.
[48:44.040 --> 48:45.040]  Są soseczki.
[48:45.040 --> 48:46.040]  Tak.
[48:46.040 --> 48:49.040]  Bardzo, bardzo popularne w Polsce.
[48:49.040 --> 48:53.040]  Typowe śniadanie to jest parówka.
[48:53.040 --> 48:54.040]  Tak?
[48:54.040 --> 48:55.040]  Bardzo popularne.
[48:55.040 --> 49:00.040]  Dzieci, nie tylko dzieci not only, kochają parówki w Polsce.
[49:00.040 --> 49:02.040]  A wy lubicie parówki?
[49:02.040 --> 49:03.040]  No nie.
[49:03.040 --> 49:04.040]  Nie.
[49:04.040 --> 49:05.040]  Nie.
[49:05.040 --> 49:06.040]  Nie.
[49:06.040 --> 49:07.040]  Nie.
[49:07.040 --> 49:10.040]  I mean, because I've had them once, like from Żabka, but they're really cheap.
[49:10.040 --> 49:12.040]  Tak, to jest niedrogie.
[49:12.040 --> 49:13.040]  Tajem.
[49:13.040 --> 49:14.040]  Tak.
[49:14.040 --> 49:19.040]  Jest jeszcze alternatywna opcja, też bardzo popularna.
[49:19.040 --> 49:22.040]  To są kabanosy.
[49:22.040 --> 49:23.040]  Kabanosy?
[49:23.040 --> 49:26.040]  Oh, excellent.
[49:26.040 --> 49:30.040]  Tak, to też, Żabka też oferuje dużo opcji.
[49:30.040 --> 49:31.040]  Tak?
[49:31.040 --> 49:36.040]  To też jest super, bo udaje w Polsce.
[49:36.040 --> 49:39.040]  Takie eksperymenty.
[49:39.040 --> 49:44.040]  Tutaj cheddar i tak dalej.
[49:44.040 --> 49:48.040]  No dobrze. To mamy sekcję wędrówkę. W porządku?
[49:48.040 --> 49:51.040]  Super. I mamy też opcję inne.
[49:51.040 --> 49:53.040]  Co to jest inne?
[49:53.040 --> 49:55.040]  Others.
[49:55.040 --> 49:57.040]  Others.
[49:57.040 --> 50:01.040]  I tak.
[50:05.040 --> 50:13.040]  I tak mamy dżemy truskawkowy, malinowy, brzoskwiliowy.
[50:17.040 --> 50:19.040]  Jaki dżem lubicie?
[50:19.040 --> 50:23.040]  Truskawkowy.
[50:23.040 --> 50:25.040]  Truskawkowy. Ok.
[50:25.040 --> 50:27.040]  Truskawkowy.
[50:27.040 --> 50:29.040]  Truskawkowy.
[50:29.040 --> 50:31.040]  Truskawkowy.
[50:31.040 --> 50:34.040]  A to jest też popularne.
[50:34.040 --> 50:36.040]  I will check.
[50:40.040 --> 50:44.040]  O tak. Morelowy. Morela. Morela.
[50:44.040 --> 50:47.040]  Morela. To jest też super.
[50:47.040 --> 50:50.040]  Tak. Morelowy.
[50:50.040 --> 50:52.040]  Morelowy.
[50:52.040 --> 50:55.040]  Bardzo dobry dżem.
[50:55.040 --> 50:56.040]  I dżemy.
[50:57.040 --> 51:01.040]  No ok.
[51:02.040 --> 51:04.040]  To jest dobre plus naleśniki.
[51:04.040 --> 51:06.040]  Tak. Naleśniki.
[51:06.040 --> 51:07.040]  Naleśniki.
[51:07.040 --> 51:08.040]  Pancakes.
[51:08.040 --> 51:09.040]  Yes.
[51:09.040 --> 51:11.040]  Tak. To jest też dobra opcja.
[51:13.040 --> 51:16.040]  Super. Mamy klasyczny miód.
[51:16.040 --> 51:20.040]  Kawę, herbatę i cukier.
[51:20.040 --> 51:22.040]  Tak. W porządku?
[51:22.040 --> 51:24.040]  Wszystko w porządku.
[51:24.040 --> 51:26.040]  Wszystko w porządku. No to dobra.
[51:26.040 --> 51:35.480]  No to teraz mamy, decydujemy co nie jest ok. Eliminujemy jeden produkt.
[51:35.480 --> 51:38.920]  Eliminujemy, selekcja.
[51:38.920 --> 51:44.840]  Mamy mleko, jogurt, ser żółty, szwinak.
[51:44.840 --> 51:45.840]  Szwinak.
[51:45.840 --> 51:47.440]  Szwinak. Dlaczego?
[51:47.440 --> 51:50.320]  Szwinak to jest warzywa.
[51:50.320 --> 51:54.160]  Tak, szwinak to jest warzywo, a mleko, ser żółty, jogurt?
[51:54.160 --> 51:57.760]  To jest niebiał, nabiał.
[51:57.760 --> 51:59.760]  Nabiał, produkty mleczne, super.
[51:59.760 --> 52:06.160]  Produkty mleczne, nabiał, szwinak to nie ta kategoria, niedobra kategoria, super.
[52:06.160 --> 52:10.160]  Ok, czasem możemy dyskutować.
[52:10.160 --> 52:19.160]  Some options from the end will be harder, so we can discuss what could be the best options.
[52:19.160 --> 52:21.160]  Tu jest.
[52:21.160 --> 52:22.160]  Buki.
[52:22.160 --> 52:23.160]  Buki.
[52:23.160 --> 52:24.160]  Buki.
[52:24.160 --> 52:25.160]  Buki.
[52:25.160 --> 52:26.160]  Buki.
[52:26.160 --> 52:27.160]  No, dlaczego?
[52:27.160 --> 52:28.160]  Dlaczego niedobrze?
[52:28.160 --> 52:34.160]  Others are like, um, um, parts of it.
[52:34.160 --> 52:41.160]  Tak, brokuły, pomidory, czosnek, totalnie warzywa, bułka, pieczywo.
[52:41.160 --> 52:42.160]  Pieczywo.
[52:42.160 --> 52:43.160]  Aha.
[52:43.160 --> 52:44.160]  Buki.
[52:44.160 --> 52:45.160]  Buki.
[52:45.160 --> 52:46.160]  Super.
[52:46.160 --> 52:48.760]  I tu mamy coś takiego.
[52:48.760 --> 52:49.760]  Mleko.
[52:49.760 --> 52:50.760]  Mleko.
[52:50.760 --> 52:51.760]  Mleko.
[52:51.760 --> 52:52.760]  Mleko.
[52:52.760 --> 52:53.760]  Mleko.
[52:53.760 --> 52:54.760]  To jest niebiał.
[52:54.760 --> 52:55.760]  No, nabiał.
[52:55.760 --> 52:56.760]  Mleko to nabiał.
[52:56.760 --> 52:57.760]  Mleko to nabiał, a fanta, spaj, Coca-Cola, klasyczne napoje.
[52:57.760 --> 52:58.760]  Napoje gazowane.
[52:58.760 --> 52:59.760]  Napoje gazowane.
[52:59.760 --> 53:00.760]  Ok.
[53:00.760 --> 53:01.760]  A tu?
[53:01.760 --> 53:02.760]  Woda.
[53:02.760 --> 53:03.760]  Woda.
[53:03.760 --> 53:04.760]  Woda.
[53:04.760 --> 53:05.760]  Woda.
[53:05.760 --> 53:06.760]  Woda.
[53:06.760 --> 53:07.760]  Woda.
[53:07.760 --> 53:08.760]  Woda.
[53:08.760 --> 53:09.760]  Woda.
[53:09.760 --> 53:10.760]  Woda.
[53:10.760 --> 53:11.760]  Woda.
[53:11.760 --> 53:12.760]  Woda.
[53:12.760 --> 53:13.760]  Woda.
[53:13.760 --> 53:14.760]  Woda.
[53:14.760 --> 53:15.760]  Woda.
[53:15.760 --> 53:16.760]  Woda.
[53:16.760 --> 53:17.760]  Woda.
[53:17.760 --> 53:18.760]  Woda.
[53:18.760 --> 53:19.760]  Woda.
[53:19.760 --> 53:20.760]  Woda.
[53:20.760 --> 53:21.760]  Woda.
[53:21.760 --> 53:22.760]  Woda.
[53:22.760 --> 53:23.760]  Woda.
[53:23.760 --> 53:25.680]  Bezalkoholowy, produkt bezalkoholowy.
[53:25.680 --> 53:26.680]  Tak, woda.
[53:27.440 --> 53:28.640]  Mm-hmm.
[53:31.160 --> 53:34.160]  Ok, tu mamy opcję.
[53:34.160 --> 53:35.760]  Naleśniki z serem.
[53:35.760 --> 53:37.360]  Co to naleśniki z serem?
[53:39.200 --> 53:41.360]  Pane z cheesecake, mostly sweet one.
[53:41.360 --> 53:43.360]  Serem, serem.
