"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:19.820]  Dobra. Zaczynamy czas przeszły.
[44:44.400 --> 44:54.400]  ...
[44:54.400 --> 44:56.400]  Jest to tylko plural?
[44:56.400 --> 44:58.400]  Tak.
[44:58.400 --> 45:00.400]  Zrozumiałem się. Myślałem, że to znaczy...
[45:00.400 --> 45:01.400]  ...
[45:01.400 --> 45:03.400]  ...
[45:03.400 --> 45:05.400]  To jest tylko plural.
[45:05.400 --> 45:07.400]  To jest plural.
[45:07.400 --> 45:09.400]  Co jeśli jest to z zespołu?
[45:09.400 --> 45:14.400]  To jest zespoł...
[45:14.400 --> 45:16.400]  ...
[45:16.400 --> 45:18.400]  To jest zespoł zespołu.
[45:18.400 --> 45:21.400]  Więc jeśli jest to 100 kobiet...
[45:21.400 --> 45:22.400]  ...
[45:22.400 --> 45:23.400]  ...
[45:23.400 --> 45:24.400]  ...
[45:24.400 --> 45:25.400]  ...
[45:25.400 --> 45:26.400]  ...
[45:26.400 --> 45:27.400]  ...
[45:27.400 --> 45:28.400]  ...
[45:28.400 --> 45:29.400]  ...
[45:29.400 --> 45:30.400]  ...
[45:30.400 --> 45:31.400]  ...
[45:31.400 --> 45:32.400]  ...
[45:32.400 --> 45:33.400]  ...
[45:33.400 --> 45:34.400]  ...
[45:34.400 --> 45:35.400]  ...
[45:35.400 --> 45:36.400]  ...
[45:36.400 --> 45:37.400]  ...
[45:37.400 --> 45:38.400]  ...
[45:38.400 --> 45:39.400]  ...
[45:39.400 --> 45:40.440]  ...
[45:40.440 --> 45:42.440]  ...
[45:42.440 --> 45:43.440]  Dobra. Czyli tak.
[45:43.440 --> 45:45.440]  W rodzaju niemęskoosobowym...
[45:46.440 --> 45:47.440]  ...
[45:47.440 --> 45:49.360]  ...
[45:49.360 --> 45:50.360]  ...
[45:50.360 --> 45:52.400]  ...
[45:52.400 --> 45:54.360]  ...
[45:56.360 --> 45:57.440]  ...
[45:57.440 --> 45:58.400]  ...
[45:58.400 --> 45:59.400]  ...
[45:59.400 --> 46:00.400]  ...
[46:00.400 --> 46:01.400]  ...
[46:01.400 --> 46:02.400]  ...
[46:02.400 --> 46:03.400]  ...
[46:03.400 --> 46:04.400]  ...
[46:04.400 --> 46:06.400]  ...
[46:06.400 --> 46:08.400]  Co jeszcze, końcówka normalna?
[46:08.400 --> 46:09.400]  ...
[46:09.400 --> 46:11.400]  Czasownika.
[46:16.400 --> 46:23.400]  Czyli my studiowaliśmy, wy studiowaliście, oni studiowali.
[46:23.400 --> 46:31.400]  W rodzaju niemęsko-cołowni. My studiowałyśmy, wy studiowałyście, one studiowały.
[46:31.400 --> 46:33.400]  No to to wiemy.
[46:33.400 --> 46:39.400]  To jeszcze jakiś przykład, co my tam mieliśmy? Oglądać chyba?
[46:39.400 --> 46:46.400]  Ok. Czasownik oglądać. Jak go zrobimy? Liczbę mnogą, rodzaj męsko-sogowy.
[46:46.400 --> 47:01.400]  My oglądaliśmy, wy oglądaliście, oni oglądali, my oglądałyśmy,
[47:01.400 --> 47:11.400]  oglądałyśmy, wy oglądałyście, oglądałyście, one oglądały.
[47:11.400 --> 47:15.400]  Jakiś inny czasownik. Niech będzie pisać.
[47:15.400 --> 47:29.400]  My pisaliśmy, pisaliśmy, pisaliśmy.
[47:31.400 --> 47:39.400]  Pisać. Usłuchamy ci. Dodajemy.
[47:39.400 --> 47:51.400]  Byli plusśmy. Pisaliśmy. Na przykład. Wy pisaliście, oni pisali.
[47:51.400 --> 48:00.400]  W rodzaju niemęsko-sogowy. My pisałyśmy, wy pisaliście.
[48:00.400 --> 48:08.400]  I one? Pisały.
[48:08.400 --> 48:15.400]  No dobra. No to teraz tak.
[48:15.400 --> 48:24.400]  Czyli tak. Tutaj mamy to, co w semestrze obiektu przed chwilą.
[48:24.400 --> 48:27.400]  We have water, we have water.
[48:27.400 --> 48:29.400]  And here we have five.
[48:30.400 --> 48:33.400]  Five irregular verbs.
[48:33.400 --> 48:36.400]  Te czasowniki nieregularne.
[48:36.400 --> 48:42.400]  To jest móc, iść, jeść, pójść i mieć.
[48:42.400 --> 48:49.400]  So, be able, go, eat, other go and have.
[48:49.400 --> 48:54.400]  That was the difference between iść and pójść.
[49:00.400 --> 49:07.400]  You've got it.
[49:07.400 --> 49:09.400]  That's a little tricky question.
[49:09.400 --> 49:10.400]  What was the question again?
[49:10.400 --> 49:14.400]  What's the difference between iść and pójść?
[49:14.400 --> 49:18.400]  Iść, go and eat.
[49:18.400 --> 49:20.400]  Another go.
[49:20.400 --> 49:23.400]  You've completed going?
[49:23.400 --> 49:24.400]  Oh, right.
[49:24.400 --> 49:26.400]  Exactly.
[49:26.400 --> 49:28.400]  So, iść. I can, iść. I can go.
[49:28.400 --> 49:34.400]  I don't know if I've reached the destination.
[49:34.400 --> 49:38.400]  But pójść is like to complete this process.
[49:38.400 --> 49:41.400]  Iść. No dobra.
[49:41.400 --> 49:45.400]  Czym się równią te czasowniki?
[49:45.400 --> 49:52.400]  Sorry. If it's a completed process, does that mean that it's only in the past tense?
[49:52.400 --> 49:54.400]  No.
[49:54.400 --> 49:56.400]  Why would you say that in the present tense?
[49:56.400 --> 50:00.400]  Because you're always going somewhere in the present tense.
[50:00.400 --> 50:04.400]  But pójść, like, does that mean you're already...
[50:04.400 --> 50:06.400]  There's no aspect?
[50:06.400 --> 50:08.400]  No.
[50:08.400 --> 50:10.400]  Okay.
[50:10.400 --> 50:13.400]  Does it mean you're already, like, almost there?
[50:13.400 --> 50:15.400]  No, exactly.
[50:15.400 --> 50:17.400]  It's like, okay.
[50:17.400 --> 50:19.400]  I guess we've done it this last time.
[50:19.400 --> 50:22.400]  O, inny czasownik.
[50:22.400 --> 50:25.400]  Niech będzie na przykład.
[50:25.400 --> 50:27.400]  Czytać.
[50:29.400 --> 50:30.400]  Przeczytać.
[50:30.400 --> 50:32.400]  What's the difference?
[50:37.400 --> 50:38.400]  Okay.
[50:38.400 --> 50:40.400]  Czytać, for example, do.
[50:40.400 --> 50:44.400]  Czytać. Cały czas the process is going.
[50:44.400 --> 50:48.400]  But przeczytać means that I've already finished.
[50:48.400 --> 50:49.400]  Oh.
[50:49.400 --> 50:53.400]  But it also can be in the future.
[50:53.400 --> 50:54.400]  Like,
[50:54.400 --> 50:56.400]  I will read.
[50:56.400 --> 50:59.400]  Będę czytać.
[50:59.400 --> 51:03.400]  And I will read other way.
[51:03.400 --> 51:06.400]  So przeczytam.
[51:06.400 --> 51:09.400]  So I will read and I finish this book.
[51:09.400 --> 51:12.400]  So iść and pójść, it's kind of similar.
[51:12.400 --> 51:15.400]  So się...
[51:15.400 --> 51:20.400]  It's hard to explain the concept of aspect if you don't have this in your language.
[51:20.400 --> 51:22.400]  I guess you don't have that in your language.
[51:22.400 --> 51:23.400]  No, I...
[51:23.400 --> 51:24.400]  Że ty czytasz?
[51:24.400 --> 51:25.400]  I mean, that was a good question?
[51:25.400 --> 51:26.400]  Because że ty czytasz?
[51:26.400 --> 51:27.400]  Because that will not be...
[51:27.400 --> 51:28.400]  You cannot have that in present tense, right?
[51:28.400 --> 51:29.400]  Że ty czytasz?
[51:29.400 --> 51:30.400]  I think so.
[51:30.400 --> 51:31.400]  I don't think you can.
[51:31.400 --> 51:32.400]  Because how will you say, like, I understand, like, I will complete reading this book.
[51:32.400 --> 51:33.400]  I will, but I am...
[51:33.400 --> 51:34.400]  I am completing reading this book.
[51:34.400 --> 51:35.400]  I...
[51:35.400 --> 51:36.400]  That's what I'm saying, is it about like, is it, you're almost done with the book, or...
[51:36.400 --> 51:37.400]  Mm-hmm.
[51:37.400 --> 51:38.400]  Because I am...
[51:38.400 --> 51:39.400]  I am completing reading this book.
[51:39.400 --> 51:40.400]  I am...
[51:40.400 --> 51:41.400]  I am completely completing reading this book.
[51:41.400 --> 51:42.400]  I...
[51:42.400 --> 51:43.400]  I am...
[51:43.400 --> 51:44.400]  I am completing reading this book.
[51:44.400 --> 51:45.400]  Yeah.
[51:45.400 --> 51:46.400]  Yeah.
[51:46.400 --> 51:51.400]  Tak, to jest to, co mówię, że jest to o tym, że prawie nie masz książki.
[51:51.400 --> 51:54.400]  Nie, nie mamy w obecności, mamy to w pracy.
[51:54.400 --> 51:56.400]  Ludzie nigdy nie mówią tego.
[51:56.400 --> 51:59.400]  Nie myślę, że...
[51:59.400 --> 52:02.400]  Tak, myślę, że to jest dobry temat.
[52:02.400 --> 52:05.400]  Bo jeśli jesteś w obecności, jesteś...
[52:05.400 --> 52:06.400]  Czyta, czyta.
[52:06.400 --> 52:08.400]  Czy to wpłynie na push?
[52:08.400 --> 52:09.400]  Push?
[52:09.400 --> 52:11.400]  Mhm.
[52:11.400 --> 52:13.400]  Ale pewnie nie mówisz tego.
[52:13.400 --> 52:15.400]  Co to jest?
[52:17.400 --> 52:18.400]  Poima?
[52:18.400 --> 52:19.400]  Ujda?
[52:20.400 --> 52:21.400]  Może.
[52:21.400 --> 52:24.400]  Czy to jest ten w tle obecny, poima?
[52:24.400 --> 52:25.400]  Ujda?
[52:25.400 --> 52:26.400]  Ujda.
[52:26.400 --> 52:27.400]  W obecności, w przyszłości.
[52:27.400 --> 52:29.400]  Nie mamy tego w obecności.
[52:30.400 --> 52:32.400]  Tylko chcesz to powiedzieć w obecności?
[52:32.400 --> 52:33.400]  Mhm.
[52:33.400 --> 52:37.400]  Ok, nie wiem dlaczego to wprowadzili, bo w...
[52:38.400 --> 52:39.400]  Nie chcę...
[52:39.400 --> 52:43.400]  Nie chcę niktom nazwać, ale myślę, że...
[52:43.400 --> 52:48.400]  Jak już mówiłaś, nauczyciel powinien to zrobić w Czapce 3.
[52:48.400 --> 52:51.400]  Ten koncept aspektu, ale ok.
[52:53.400 --> 52:56.400]  Czy to jest literalnie tak, że polski nazwa jest aspekt?
[52:56.400 --> 52:57.400]  Tak.
[52:57.400 --> 52:58.400]  Aspekt.
[52:58.400 --> 53:00.400]  Aspekt to konon, to jest dokładny term.
[53:00.400 --> 53:03.400]  To wyjaśni, jeśli poszczęszczę online albo coś.
[53:03.400 --> 53:04.400]  Tak.
[53:04.400 --> 53:05.400]  Dobra.
[53:05.400 --> 53:06.400]  Dobra.
[53:06.400 --> 53:07.400]  Proszę.
[53:07.400 --> 53:12.400]  Aspekt niedokonany, niedokonany, dokonany.
[53:12.400 --> 53:22.400]  So it's like niedokonany is like not done and dokonany is like done.
[53:22.400 --> 53:28.400]  Something is already done.
[53:28.400 --> 53:29.400]  And the order.
[53:29.400 --> 53:30.400]  I'm sorry.
[53:30.400 --> 53:31.400]  I'm sorry.
[53:31.400 --> 53:32.400]  I'm sorry.
[53:32.400 --> 53:33.400]  I'm sorry.
[53:33.400 --> 53:35.400]  I wszystkie rzeczy mają to.
[53:35.400 --> 53:37.400]  Nie, ale większość.
[53:37.400 --> 53:39.400]  Czyli jak ja jadę.
[53:39.400 --> 53:41.400]  Jeść.
[53:41.400 --> 53:43.400]  Więc sze-jeść to nie jest coś.
[53:43.400 --> 53:45.400]  Zjeść.
[53:45.400 --> 53:47.400]  Okej, no.
[53:47.400 --> 53:49.400]  O, nie, niech to jest głęboko.
[53:49.400 --> 53:51.400]  Ta część się zmienia.
[53:51.400 --> 53:53.400]  O, pamiętasz, kiedy mamy
[53:53.400 --> 53:55.400]  jechać, odjechać
[53:55.400 --> 53:57.400]  i przyjechać.
[53:57.400 --> 53:59.400]  Pamiętasz to?
[53:59.400 --> 54:01.400]  Mhm.
[54:01.400 --> 54:03.400]  To jest tylko to.
[54:03.400 --> 54:05.400]  Ale przyjechać to to.
[54:05.400 --> 54:07.400]  Więc jesteś
[54:07.400 --> 54:09.400]  gdzieś tam
[54:09.400 --> 54:11.400]  i przyjechać
[54:11.400 --> 54:13.400]  to znaczy, że już
[54:13.400 --> 54:15.400]  pojechałeś gdzieś i dojechałeś.
[54:15.400 --> 54:17.400]  Mhm.
[54:17.400 --> 54:19.400]  I także przyjechać.
[54:19.400 --> 54:21.400]  Jechać to znaczy, że idziesz
[54:21.400 --> 54:23.400]  samochodem, samochodem czy samochodem
[54:23.400 --> 54:25.400]  i przyjechać to znaczy, że już dojechałeś.
[54:25.400 --> 54:27.400]  Ale to nie jest zupełnie inaczej od słowa
[54:27.400 --> 54:29.400]  na przykład
[54:29.400 --> 54:31.400]  to nie jest, to jest słowo na przykład
[54:31.400 --> 54:33.400]  tak jak kiedy ktoś mówi, kiedy będzie
[54:33.400 --> 54:35.400]  gdzieś dojechać, użyjesz tych słów.
[54:35.400 --> 54:37.400]  Więc to jest jakby kombinacja
[54:37.400 --> 54:39.400]  przyjechać i
[54:39.400 --> 54:41.400]  dojechać do tego miejsca.
[54:41.400 --> 54:43.400]  Tak, w każdym razie.
[54:43.400 --> 54:45.400]  Kiedy kogoś zapyta,
[54:45.400 --> 54:47.400]  że dojechałeś i jesteś na stacji,
[54:47.400 --> 54:49.400]  możesz powiedzieć przyjechałem.
[54:49.400 --> 54:51.400]  Tak, rozumiem.
[54:51.400 --> 54:53.400]  Więc to jest jakby, jeśli byłoby to
[54:53.400 --> 54:55.400]  same słowo na dzień, dla tego, żeby dojechać i dojechać.
[54:55.400 --> 54:57.400]  Tak.
[54:57.400 --> 54:59.400]  Tak więc angielski to są różne słowa.
[54:59.400 --> 55:01.400]  Tak, masz to czytać?
[55:01.400 --> 55:03.400]  Tak, i to czytać to jest takie samo słowo,
[55:03.400 --> 55:05.400]  ale ty na początku
[55:05.400 --> 55:07.400]  i to
[55:07.400 --> 55:09.400]  i to w zasadzie wszystko.
[55:09.400 --> 55:11.400]  Tak więc, czy te tezy
[55:11.400 --> 55:13.400]  się przyjmują do szczeciata?
[55:13.400 --> 55:15.400]  Czy szczeciata też się przyjmuje do tego?
[55:15.400 --> 55:17.400]  Czyli ja
[55:17.400 --> 55:19.400]  przeczytałem, ty
[55:19.400 --> 55:21.400]  przeczytałeś, on przeczytał,
[55:21.400 --> 55:23.400]  my przeczytałyśmy,
[55:23.400 --> 55:25.400]  wy przeczytałyście i wszystko.
[55:29.400 --> 55:31.400]  Więc czy wszystkie te kombinacje
[55:31.400 --> 55:33.400]  naprawdę mają sens?
[55:33.400 --> 55:35.400]  Wydaje mi się, że wyprodukujemy wiele
[55:35.400 --> 55:37.400]  słów, które nie mają
[55:37.400 --> 55:39.400]  żadnego sensu.
[55:39.400 --> 55:41.400]  Właściwie, myślę, że możesz
[55:41.400 --> 55:43.400]  wyprodukować
[55:43.400 --> 55:45.400]  wiele słów, które
[55:45.400 --> 55:47.400]  naprawdę oznacza coś.
[55:47.400 --> 55:49.400]  Co oznacza coś?
[55:49.400 --> 55:51.400]  Tak, tak, jestem pewien, ale co mówię,
[55:51.400 --> 55:53.400]  że wyprodukujemy też wiele
[55:53.400 --> 55:55.400]  nonsensowych słów, które
[55:55.400 --> 55:57.400]  wyprodukowałeś.
[55:57.400 --> 55:59.400]  Wyprodukowałeś wszystkie kombinacje i wszystko.
[55:59.400 --> 56:01.400]  Właściwie,
[56:01.400 --> 56:03.400]  szczeciata to jest takie, że ja
[56:03.400 --> 56:05.400]  przeczytałem, ale potem dodajesz coś
[56:05.400 --> 56:07.400]  takiego jak szczeciata, więc
[56:07.400 --> 56:09.400]  ja jestem przeczytałem,
[56:09.400 --> 56:11.400]  nie mogę...
[56:11.400 --> 56:13.400]  No szczeciata,
[56:13.400 --> 56:15.400]  rozumiem, ale szczeciata
[56:15.400 --> 56:17.400]  wam, na przykład.
[56:17.400 --> 56:19.400]  Tak,
[56:19.400 --> 56:21.400]  ja...
[56:21.400 --> 56:23.400]  co to jest szczeciata wam?
[56:23.400 --> 56:25.400]  Mogę powiedzieć szczeciata wam.
[56:25.400 --> 56:27.400]  To jest e-mail.
[56:27.400 --> 56:29.400]  E-mail, w przeszłości. Tak, tak. Przeczytałem. Tak.
[56:29.400 --> 56:31.400]  Możesz dodawać więcej rzeczy.
[56:31.400 --> 56:33.400]  Tak, ok, to jest tutaj.
[56:33.400 --> 56:35.400]  To jest jakby... może to jest jakby ja to już
[56:35.400 --> 56:37.400]  zakończyłem. Tak, to jest to. Bo mamy wiele
[56:37.400 --> 56:39.400]  dziwnych rzeczy w angielsku.
[56:39.400 --> 56:41.400]  Gdy zaczynasz mówić o
[56:41.400 --> 56:43.400]  czasu...
[56:43.400 --> 56:45.400]  Tak, i to się bardzo zmienia.
[56:45.400 --> 56:47.400]  Możesz też powiedzieć, że będę to robić,
[56:47.400 --> 56:49.400]  zawsze coś...
[56:49.400 --> 56:51.400]  Ja bym to zrobił...
[56:51.400 --> 56:53.400]  Tak, tak, tak.
[56:53.400 --> 56:55.400]  Co to znaczy?
[56:55.400 --> 56:57.400]  Czyli jak masz
[56:57.400 --> 56:59.400]  jedną
[56:59.400 --> 57:01.400]  wersję,
[57:01.400 --> 57:03.400]  i wiesz jak ją rozdawać,
[57:03.400 --> 57:05.400]  możesz zrozumieć wiele rzeczy.
[57:05.400 --> 57:07.400]  Więc tutaj...
[57:07.400 --> 57:09.400]  Tak, to jest dużo informacji.
[57:09.400 --> 57:11.400]  Tutaj wiesz
[57:11.400 --> 57:13.400]  taki podstawowy
[57:13.400 --> 57:15.400]  formuł. Tak, podstawowy formuł.
[57:15.400 --> 57:17.400]  Tutaj wiesz, że to jest past tense,
[57:17.400 --> 57:19.400]  tutaj wiesz, że to jest
[57:19.400 --> 57:21.400]  rodzeń-żeński,
[57:21.400 --> 57:23.400]  a tutaj wiesz, że to jest pierwszy człowiek, ja.
[57:23.400 --> 57:25.400]  Tak, to ma sens. Ładnie.
[57:25.400 --> 57:27.400]  Ładnie.
[57:27.400 --> 57:29.400]  Ładnie.
[57:29.400 --> 57:31.400]  Ja myślę, że najtrudniejsza część jest tutaj.
[57:31.400 --> 57:33.400]  Bo teraz, kiedy myślisz
[57:33.400 --> 57:35.400]  o tym, tak...
[57:35.400 --> 57:37.400]  Mmm...
[57:37.400 --> 57:39.400]  Możesz tylko
[57:39.400 --> 57:41.400]  zmienić te kąty tutaj.
[57:41.400 --> 57:43.400]  Tutaj możesz włożyć...
[57:43.400 --> 57:45.400]  Nie wiem...
[57:47.400 --> 57:49.400]  Pisac.
[57:49.400 --> 57:51.400]  Tutaj możesz włożyć
[57:51.400 --> 57:53.400]  li, więc wiesz, że to jest to.
[57:53.400 --> 57:55.400]  Rodzenie niemieckie z Kosołowego.
[57:55.400 --> 57:57.400]  I tutaj możesz włożyć
[57:57.400 --> 57:59.400]  ścieć.
[57:59.400 --> 58:01.400]  I tutaj możesz włożyć
[58:01.400 --> 58:03.400]  inny początek.
[58:03.400 --> 58:05.400]  Do. Na przykład.
[58:05.400 --> 58:07.400]  I to są zupełnie inne słowa.
[58:07.400 --> 58:09.400]  Więc możemy zmienić to, to, to
[58:09.400 --> 58:11.400]  i to, i to.
[58:11.400 --> 58:13.400]  Czy to jest normalne?
[58:13.400 --> 58:15.400]  W dzisiejszych rozmowach ludzie
[58:15.400 --> 58:17.400]  używają tego? Oczywiście.
[58:17.400 --> 58:19.400]  Tak. To będzie mi trwać
[58:19.400 --> 58:21.400]  około 5 minut, żeby zrozumieć jedno słowo.
[58:23.400 --> 58:25.400]  Tak, to jest saliścze.
[58:25.400 --> 58:27.400]  Poczekaj.
[58:27.400 --> 58:29.400]  Myślę, że są jakieś wskazówki. Myślę, że
[58:29.400 --> 58:31.400]  są jakieś wskazówki.
[58:31.400 --> 58:33.400]  Jeśli po prostu pochodzisz z
[58:33.400 --> 58:35.400]  i jest to wskazówka.
[58:35.400 --> 58:37.400]  Kiedy widzisz
[58:37.400 --> 58:39.400]  li, to
[58:39.400 --> 58:41.400]  po prostu wiesz, że jest wskazówka.
[58:41.400 --> 58:43.400]  I kiedy widzisz
[58:43.400 --> 58:45.400]  my w końcu, to wiesz, że zawsze jest
[58:45.400 --> 58:47.400]  pierwsza osoba.
[58:47.400 --> 58:49.400]  Początek, to prze, do,
[58:49.400 --> 58:51.400]  to nie jest teraz, to później.
[58:51.400 --> 58:53.400]  Ale tutaj pisac
[58:53.400 --> 58:55.400]  to podstawowe słowo.
[58:55.400 --> 58:57.400]  Właściwie
[58:57.400 --> 58:59.400]  jest to bardzo trudne, bo
[58:59.400 --> 59:01.400]  wiele słów mają te same rzeczy.
[59:01.400 --> 59:03.400]  Więc jeśli przegapisz jedną
[59:03.400 --> 59:05.400]  różnicę, to
[59:05.400 --> 59:07.400]  całość jest inna.
[59:07.400 --> 59:09.400]  Jeśli przegapisz li, to
[59:09.400 --> 59:11.400]  jeśli przegapisz sze,
[59:11.400 --> 59:13.400]  to o czym mówisz?
[59:13.400 --> 59:15.400]  Tak, i wtedy jest
[59:15.400 --> 59:17.400]  dużo sze, więc
[59:17.400 --> 59:19.400]  kiedy słyszysz, to
[59:19.400 --> 59:21.400]  nie możesz się skupić.
[59:21.400 --> 59:23.400]  Widzisz to w pisaniu, a słyszymy
[59:23.400 --> 59:25.400]  zupełnie inne rzeczy.
[59:25.400 --> 59:27.400]  To ogromny biały.
[59:27.400 --> 59:29.400]  To jest to, co się dzieje.
[59:29.400 --> 59:31.400]  Czy jesteś skupiony?
[59:31.400 --> 59:33.400]  Nie. Jesteś bojącym się
[59:33.400 --> 59:35.400]  po polskim języku?
[59:35.400 --> 59:37.400]  Na szczęście jest łatwiej, niż
[59:37.400 --> 59:39.400]  myślałem, że w przeszłości.
[59:39.400 --> 59:41.400]  To bardzo łatwe,
[59:41.400 --> 59:43.400]  uwierz mi.
[59:45.400 --> 59:47.400]  Ok.
[59:47.400 --> 59:49.400]  Czy są jeszcze pytania?
[59:49.400 --> 59:51.400]  Ponieważ jesteśmy tutaj.
[59:53.400 --> 59:55.400]  Więc,
[59:55.400 --> 59:57.400]  wszystkie te kończe, znowu
[59:57.400 --> 59:59.400]  zaznaczam, że nawet dla
[59:59.400 --> 01:00:01.400]  liczby mnoga, nie zależy nam
[01:00:01.400 --> 01:00:03.400]  grupowanie wersji,
[01:00:03.400 --> 01:00:05.400]  tylko, w jaki trzy kategorii
[01:00:05.400 --> 01:00:07.400]  wersja się wytrzymuje.
[01:00:07.400 --> 01:00:09.400]  W początku, te trzy kategorie, które
[01:00:09.400 --> 01:00:11.400]  szukaliśmy, nie zależy nam.
[01:00:11.400 --> 01:00:13.400]  Kolejny byłby zawsze sz, me, sz, c,
[01:00:13.400 --> 01:00:15.400]  i cokolwiek, bez względu na
[01:00:15.400 --> 01:00:17.400]  te trzy grupy, które mamy.
[01:00:17.400 --> 01:00:19.400]  M, es, es, es,
[01:00:19.400 --> 01:00:21.400]  takie są.
[01:00:21.400 --> 01:00:23.400]  Zgadza się.
[01:00:23.400 --> 01:00:25.400]  Nie jestem pewna, czy rozumiesz pytanie, ale jeśli zależy.
[01:00:25.400 --> 01:00:27.400]  Nie, nie.
[01:00:27.400 --> 01:00:29.400]  Mamy trzy kategorie,
[01:00:29.400 --> 01:00:31.400]  iś, esz...
[01:00:31.400 --> 01:00:33.400]  Mówisz o końcu,
[01:00:33.400 --> 01:00:35.400]  w, w, w, z, z?
[01:00:35.400 --> 01:00:37.400]  Nie, mamy roz, ma, wi, ach,
[01:00:37.400 --> 01:00:39.400]  u, c, i pra, so, wasz.
[01:00:39.400 --> 01:00:41.400]  Te trzy kategorie
[01:00:41.400 --> 01:00:43.400]  są w trzech różnych kategoriach,
[01:00:43.400 --> 01:00:45.400]  dzięki końcowi.
[01:00:45.400 --> 01:00:47.400]  A tutaj, zmieniamy wszystkie do
[01:00:47.400 --> 01:00:49.400]  esz, me, es, cie,
[01:00:49.400 --> 01:00:51.400]  i studio, wa.
[01:00:51.400 --> 01:00:53.400]  Więc, niezależnie od
[01:00:53.400 --> 01:00:55.400]  wersji w wersji obecnej,
[01:00:55.400 --> 01:00:57.400]  nie będziemy...
[01:00:57.400 --> 01:00:59.400]  Te końce zawsze będą
[01:00:59.400 --> 01:01:01.400]  sz, te, sz, me, sz, cie,
[01:01:01.400 --> 01:01:03.400]  i cokolwiek, ostatnie.
[01:01:03.400 --> 01:01:05.400]  Tak?
[01:01:05.400 --> 01:01:07.400]  Nie będą zmieniane.
[01:01:07.400 --> 01:01:09.400]  Po prostu wyłączamy to.
[01:01:09.400 --> 01:01:11.400]  Tak.
[01:01:21.400 --> 01:01:23.400]  Tak.
[01:01:23.400 --> 01:01:25.400]  Zaznaczam.
[01:01:25.400 --> 01:01:27.400]  Tutaj jest
[01:01:27.400 --> 01:01:29.400]  odmiana, czasownik,
[01:01:29.400 --> 01:01:31.400]  itd.
[01:01:31.400 --> 01:01:33.400]  I jest list słów.
[01:01:33.400 --> 01:01:35.400]  Czy są to wyłączenia?
[01:01:35.400 --> 01:01:37.400]  Jeszcze raz.
[01:01:37.400 --> 01:01:39.400]  Tak.
[01:01:39.400 --> 01:01:41.400]  Czy, ścięż,
[01:01:41.400 --> 01:01:43.400]  lecieć, leżeć.
[01:01:43.400 --> 01:01:45.400]  Czy są to wyłączenia?
[01:01:45.400 --> 01:01:47.400]  Mmm...
[01:01:47.400 --> 01:01:49.400]  Rozumieć?
[01:01:49.400 --> 01:01:51.400]  Mhm.
[01:01:51.400 --> 01:01:53.400]  Czy one będą w formie mieczu?
[01:01:53.400 --> 01:01:55.400]  Tak.
[01:01:55.400 --> 01:01:57.400]  Bo dlaczego jest to wyłączenie?
[01:01:57.400 --> 01:01:59.400]  Bo mamy miecz, więc
[01:01:59.400 --> 01:02:01.400]  i wtedy, kiedy widzisz tutaj...
[01:02:01.400 --> 01:02:03.400]  Piu.
[01:02:03.400 --> 01:02:05.400]  Nie ma łeb.
[01:02:05.400 --> 01:02:07.400]  Tak.
[01:02:07.400 --> 01:02:09.400]  Więc to jest wyłączenie.
[01:02:09.400 --> 01:02:11.400]  Więc wszędzie, myślę, że...
[01:02:11.400 --> 01:02:13.400]  Tak, powiedzmy, że wszędzie jest oczywiście
[01:02:13.400 --> 01:02:15.400]  jeden lub dwa
[01:02:15.400 --> 01:02:17.400]  wyłączenia,
[01:02:17.400 --> 01:02:19.400]  ale kiedy masz
[01:02:19.400 --> 01:02:21.400]  łeb, ści, na końcu bezalkolicznika,
[01:02:21.400 --> 01:02:23.400]  to zmieniasz to
[01:02:23.400 --> 01:02:25.400]  do ści.
[01:02:25.400 --> 01:02:27.400]  No dobrze.
[01:02:27.400 --> 01:02:29.400]  Przepraszam, jedna krótka pytanie.
[01:02:29.400 --> 01:02:31.400]  Czy to...
[01:02:31.400 --> 01:02:33.400]  Czy to... Czy to czytam dokładnie?
[01:02:33.400 --> 01:02:35.400]  Wszyscy będą mieć
[01:02:35.400 --> 01:02:37.400]  ści na początku?
[01:02:37.400 --> 01:02:39.400]  Tak, to będzie ści.
[01:02:39.400 --> 01:02:41.400]  Tak.
[01:02:41.400 --> 01:02:43.400]  Jak masz go i pójdź.
[01:02:43.400 --> 01:02:45.400]  To jest praktycznie to samo.
[01:02:45.400 --> 01:02:47.400]  Jakby...
[01:02:47.400 --> 01:02:49.400]  To jest to samo, jak masz ści w ści.
[01:02:49.400 --> 01:02:51.400]  Tak.
[01:02:51.400 --> 01:02:53.400]  Jest...
[01:02:53.400 --> 01:02:55.400]  To jest...
[01:02:55.400 --> 01:02:57.400]  To jest...
[01:02:57.400 --> 01:02:59.400]  Tak.
