[00:00.000 --> 00:02.000]  Nie, co?
[50:50.180 --> 50:51.180]  Popatrzcie tu.
[50:51.180 --> 50:52.180]  Na to.
[50:52.180 --> 50:53.180]  To jest tu.
[50:53.180 --> 50:58.180]  Która jest godzina.
[50:58.180 --> 50:59.180]  Właśnie.
[50:59.180 --> 51:05.180]  I wtedy mówimy pierwsza.
[51:05.180 --> 51:09.180]  To mówimy pierwsza.
[51:09.180 --> 51:11.180]  Czyli important is to listen to the question.
[51:11.180 --> 51:14.180]  If is który to kurs?
[51:14.180 --> 51:15.180]  Pierwszy.
[51:15.180 --> 51:17.180]  Która to godzina?
[51:17.180 --> 51:19.180]  Pierwsza.
[51:19.180 --> 51:22.180]  Czy to jest Pani pierwsze dziecko?
[51:22.180 --> 51:24.180]  Is this your first child?
[51:24.180 --> 51:25.180]  Tak.
[51:25.180 --> 51:27.180]  To jest moje pierwsze dziecko.
[51:27.180 --> 51:28.180]  Najstarsze.
[51:28.180 --> 51:30.180]  Najstarsze dziecko.
[51:30.180 --> 51:34.180]  Czyli mamy pierwszy, pierwsza i pierwsze.
[51:34.180 --> 51:38.180]  Bo gender masculine, feminine i neuter.
[51:38.180 --> 51:41.180]  I teraz zrobimy to dla dwa.
[51:41.180 --> 51:46.180]  Dwa to będzie drugi.
[51:46.180 --> 51:51.180]  Dwa to będzie drugi.
[51:51.180 --> 51:52.180]  Druga.
[51:52.180 --> 51:53.180]  Druga.
[51:53.180 --> 51:54.180]  Druga.
[51:54.180 --> 51:55.180]  Druga.
[51:55.180 --> 51:56.180]  Druga.
[51:56.180 --> 51:57.180]  Druga.
[51:57.180 --> 51:58.180]  I drugie?
[51:58.180 --> 51:59.620]  I drugie.
[51:59.620 --> 52:00.620]  Drugi.
[52:00.620 --> 52:01.620]  Drugie.
[52:01.620 --> 52:04.180]  Drugi dzień tygodnia to jest dzisiaj, dzisiaj to jest co?
[52:04.180 --> 52:05.180]  Drugi dzień tygodnia.
[52:05.180 --> 52:06.180]  Wtorek do jest wtorek.
[52:06.180 --> 52:07.180]  To jest drugi dzień tygodnia.
[52:07.180 --> 52:14.180]  Drugi miesiąc to jest Вс liters ancora.
[52:14.180 --> 52:15.180]  Lrek?
[52:15.180 --> 52:22.580]  Ludzie miali na sieci tr nacicie?
[52:22.580 --> 52:23.580]  ***?
[52:23.580 --> 52:24.580]  Na bothie?
[52:24.580 --> 52:25.580]  ★, w Мне zecie?
[52:25.580 --> 52:51.320]  Luty. Świetnie. Luty, czyli February, to jest drugi miesiąc. Drugi dzień w tygodniu to jest wtorek. No to teraz jesteśmy tu. I to jest trzeci, trzecia i trzecia.
[52:51.320 --> 52:53.320]  Tak jest.
[52:55.580 --> 52:57.580]  Czwarty.
[52:57.580 --> 53:01.580]  Czwarta.
[53:01.580 --> 53:05.580]  Czwartek.
[53:05.580 --> 53:13.580]  Czwarty dzień tygodnia to? Czwartek.
[53:13.580 --> 53:21.580]  Czwartek, tak. Because of this, the fourth day, jest czwartek. Czwartek, czwartek.
[53:21.580 --> 53:25.580]  I teraz będziemy mieć pięć i the fifth.
[53:25.580 --> 53:29.580]  To jest piąty.
[53:29.580 --> 53:31.580]  Piąty.
[53:31.580 --> 53:35.580]  I the fifth day of the week to jest?
[53:35.580 --> 53:37.580]  Piąty.
[53:37.580 --> 53:39.580]  Piąty.
[53:39.580 --> 53:41.580]  Tak, tak, piąty.
[53:41.580 --> 53:43.580]  To jest właśnie od tego, czyli piąty.
[53:43.580 --> 53:45.580]  Piąta.
[53:45.580 --> 53:47.580]  Piąty.
[53:47.580 --> 53:49.580]  Piąty.
[53:49.580 --> 53:51.580]  Dobrze.
[53:51.580 --> 53:53.580]  I teraz sześć.
[53:53.580 --> 53:55.580]  I teraz sześć.
[53:55.580 --> 53:57.580]  To będzie szósty.
[53:57.580 --> 53:59.580]  To będzie szósty.
[53:59.580 --> 54:01.580]  Szósty.
[54:01.580 --> 54:03.580]  Szósty.
[54:03.580 --> 54:05.580]  Szósty.
[54:05.580 --> 54:07.580]  Szósta.
[54:07.580 --> 54:09.580]  Szósta.
[54:09.580 --> 54:11.580]  I szóste.
[54:11.580 --> 54:13.580]  I szóste.
[54:13.580 --> 54:15.580]  Szóste.
[54:15.580 --> 54:17.580]  Szóste.
[54:17.580 --> 54:19.580]  Zrobimy jeszcze siedem i stopy. Dobrze?
[54:19.580 --> 54:21.580]  Zrobimy jeszcze siedem i stopy. Dobrze?
[54:21.580 --> 54:23.580]  Zrobimy jeszcze siedem i stopy. Dobrze?
[54:23.580 --> 54:25.580]  Czyli tu będzie siedem.
[54:25.580 --> 54:27.580]  To jest siódmy.
[54:27.580 --> 54:29.580]  To jest siódmy.
[54:29.580 --> 54:31.580]  To jest siódmy.
[54:31.580 --> 54:33.580]  Siódmy.
[54:33.580 --> 54:35.580]  Siódma.
[54:35.580 --> 54:37.580]  Siódma.
[54:37.580 --> 54:39.580]  Siódma.
[54:39.580 --> 54:41.580]  Siódma.
[54:41.580 --> 54:43.580]  I stopy.
[54:43.580 --> 54:45.580]  I stopy.
[54:45.580 --> 54:47.580]  Na razie stopy.
[54:47.580 --> 54:49.580]  I stopy.
[54:49.580 --> 54:51.580]  I stopy.
[54:51.580 --> 54:53.580]  I stopy.
[54:53.580 --> 54:55.580]  I stopy.
[54:55.580 --> 54:57.580]  No to jeszcze raz.
[54:57.580 --> 54:59.580]  Pierwszy dzień tygodnia.
[54:59.580 --> 55:01.580]  Przepraszam.
[55:01.580 --> 55:03.580]  Pierwszy.
[55:03.580 --> 55:05.580]  Pierwszy.
[55:05.580 --> 55:07.580]  Pierwszy dzień tygodnia to.
[55:07.580 --> 55:09.580]  Pierwszy dzień tygodnia to.
[55:09.580 --> 55:11.580]  Jak się nazywa pierwszy dzień tygodnia?
[55:11.580 --> 55:13.580]  Jak się nazywa pierwszy dzień tygodnia?
[55:13.580 --> 55:15.580]  Wczoraj.
[55:15.580 --> 55:17.580]  Poniedziałek.
[55:17.580 --> 55:19.580]  Poniedziałek.
[55:19.580 --> 55:21.580]  Tak. To jest poniedziałek.
[55:21.580 --> 55:23.580]  Tak. To jest poniedziałek.
[55:23.580 --> 55:25.580]  Tak. To jest poniedziałek.
[55:27.580 --> 55:29.580]  Dzisiaj drugi dzień tygodnia.
[55:29.580 --> 55:31.580]  To jest wtorek.
[55:31.580 --> 55:33.580]  To jest wtorek.
[55:33.580 --> 55:35.580]  Pięknie.
[55:35.580 --> 55:37.580]  Pięknie.
[55:41.580 --> 55:43.580]  In the middle of the week.
[55:43.580 --> 55:45.580]  In the middle of the week.
[55:45.580 --> 55:47.580]  Czyli środek.
[55:47.580 --> 55:49.580]  To jest mydło i to jest środa.
[55:49.580 --> 55:51.580]  To jest mydło i to jest środa.
[55:51.580 --> 56:01.580]  Trzeci dzień tygodnia. Środa.
[56:01.580 --> 56:11.580]  Czwarty dzień tygodnia to czwartek.
[56:11.580 --> 56:21.580]  Piąty dzień tygodnia to piątek.
[56:21.580 --> 56:31.580]  Szósty dzień tygodnia to sobota.
[56:31.580 --> 56:38.580]  Siódmy dzień tygodnia to niedziela.
[56:38.580 --> 56:39.580]  No i świetnie.
[56:39.580 --> 56:41.580]  Mamy dni tygodnia.
[56:41.580 --> 56:48.580]  Sobota i niedziela to razem te dwa dni.
[56:48.580 --> 56:51.580]  Nie robić?
[56:51.580 --> 56:53.580]  No nie robić, nie robić.
[56:53.580 --> 56:55.580]  Ale jak się nazywa?
[56:55.580 --> 56:56.580]  Weekendu?
[56:56.580 --> 56:59.580]  Weekend, tak. Weekend.
[56:59.580 --> 57:02.580]  Weekend.
[57:02.580 --> 57:08.580]  A to co pan powiedział weekendu to jest if we wish this have a nice weekend.
[57:08.580 --> 57:10.580]  To mówimy miłego weekendu.
[57:10.580 --> 57:11.580]  Weekendu.
[57:11.580 --> 57:14.580]  Tak jest. Miłego weekendu.
[57:18.580 --> 57:21.580]  Świetnie. Miłego weekendu.
[57:21.580 --> 57:23.580]  Have a nice weekend.
[57:23.580 --> 57:27.580]  If we want to say have a nice day to co mówimy?
[57:27.580 --> 57:29.580]  Miłego dnia.
[57:29.580 --> 57:31.580]  Miłego dnia.
[57:31.580 --> 57:33.580]  Świetnie.
[57:33.580 --> 57:35.580]  Miłego dnia.
[57:35.580 --> 57:37.580]  Miłego dnia.
[57:37.580 --> 57:39.580]  Miłego dnia.
[57:39.580 --> 57:58.580]  Świetnie. I teraz moi drodzy, momencik, poproszę, poproszę, to jest strona osiemdziesiąt dwa. Osiemdziesiąt dwa. To jest next page. Osiemdziesiąt dwa.
[57:58.580 --> 58:00.580]  Mam pytanie?
[58:00.580 --> 58:01.580]  Tak.
[58:01.580 --> 58:05.580]  Ok sorry.
[58:05.580 --> 58:07.580]  Why did we stop at seven?
[58:07.580 --> 58:11.580]  Like or is there a different word for like...
[58:11.580 --> 58:16.580]  Nie, nie, nie. Because I need this for one exercise. And because of this...
[58:16.580 --> 58:24.580]  No, no, sorry. So like when we are talking about this. So is there a separate word for like eight? Like eighth?
[58:24.580 --> 58:25.580]  Nie.
[58:25.580 --> 58:29.580]  Or like we just have till seventh in Polish?
[58:29.580 --> 58:30.580]  No, there is more.
[58:30.580 --> 58:32.580]  There is more. Ok, ok.
[58:32.580 --> 58:34.580]  We will continue.
[58:34.580 --> 58:36.580]  Ok, ok, ok. Rozum? Rozum?
[58:36.580 --> 58:40.580]  I want to practice this seven with this day of the week.
[58:40.580 --> 58:42.580]  Rozumiem, rozumiem.
[58:42.580 --> 58:44.580]  It's more.
[58:44.580 --> 58:46.580]  It's like a hundred.
[58:46.580 --> 58:52.580]  Wiemy kontynuować. Tak. Polacy mają tylko seven original numbers.
[58:52.580 --> 58:59.580]  Uwaga. Tu ćwiczenie jeden. I bardzo proszę, zrobimy sobie tą krzyżówkę.
[58:59.580 --> 59:02.580]  Siódmy dzień tygodnia i piszecie. Dobrze?
[59:02.580 --> 59:04.580]  Mamy, mamy. Tak.
[59:04.580 --> 59:13.580]  Czytamy sobie tu, popatrzcie. Poziomo, poziomo i pionowo. Tak?
[59:13.580 --> 59:18.580]  I mamy poziomo. Siódmy dzień tygodnia. To jest?
[59:18.580 --> 59:20.580]  Niedziela.
[59:20.580 --> 59:28.580]  To jest niedziela. No to bardzo proszę. Siedem, pionowo, poziomo, przepraszam. Gdzie jest siedem?
[59:28.580 --> 59:30.580]  Poziomo.
[59:30.580 --> 59:32.580]  To nie działa.
[59:32.580 --> 59:34.580]  To nie działa.
[59:34.580 --> 59:39.580]  Jeden, tak, jeden. Niedziela.
[59:39.580 --> 59:51.580]  Aha. Jeden, tak, jeden i piszemy niedziela.
[59:51.580 --> 01:00:01.580]  Bo to jest seventh day of the week, czyli Sunday.
[01:00:01.580 --> 01:00:03.580]  Siedem.
[01:00:04.580 --> 01:00:09.580]  Do medalski teraz.
[01:00:09.580 --> 01:00:10.580]  Piszemy Gleichnode.
[01:00:10.580 --> 01:00:16.580]  Hazel się przewracał, niegdyś Roztroś w persy classie pierwszym na tej pracowni w zespole ma kilku autobusów.
[01:00:16.580 --> 01:00:18.580]  Więc przecież niech to je Seattle.
[01:00:18.580 --> 01:00:22.580]  Straszny日本, to jest najlepszy fut tree.
[01:00:22.580 --> 01:00:23.580]  Tak, to jest inny sastry grób.
[01:00:23.580 --> 01:00:24.580]  Tak.
[01:00:24.580 --> 01:00:27.580]  W nodigny devoirор do szlaku мне chodkids będzie, sp trying go back, zashi na bana.
[01:00:27.580 --> 01:00:28.580]  Ehmh, prawda?
[01:00:28.580 --> 01:00:29.580]  stocks 형enci.
[01:00:29.580 --> 01:00:31.580]  No nie, to jest ten, to jest koniec jeszcze.
[01:00:31.580 --> 01:00:33.580]  Na棒ie wielki akurat odgукalli.
[01:00:33.580 --> 01:00:39.340]  Jak się mówi po polsku, why did we...
[01:00:39.340 --> 01:00:44.500]  If I'm trying to form a sentence, like why did we or like why did you...
[01:00:44.500 --> 01:00:47.300]  Jak się mówi po polsku, why did we...
[01:00:47.300 --> 01:00:50.340]  Like, why did we stop?
[01:00:50.340 --> 01:00:54.500]  Dlaczego? Dlaczego? Why?
[01:00:54.500 --> 01:00:56.820]  Dlaczego zatrzymaliśmy się?
[01:00:56.820 --> 01:00:59.860]  To stop to jest zatrzymać się.
[01:00:59.860 --> 01:01:05.620]  Jest podobne słowo dlatego.
[01:01:05.620 --> 01:01:09.300]  Dlaczego? Dlaczego?
[01:01:09.300 --> 01:01:11.300]  So dlaczego jest pytanie?
[01:01:11.300 --> 01:01:14.900]  Jest question word and conjunction.
[01:01:14.900 --> 01:01:22.060]  Because to jest albo bo, albo ponieważ, albo dlatego że.
[01:01:22.060 --> 01:01:26.420]  Dlatego że chciałam zrobić ćwiczenie.
[01:01:26.420 --> 01:01:29.420]  You asked why did we stop?
[01:01:29.420 --> 01:01:32.180]  Dlaczego zatrzymaliśmy się po siedem?
[01:01:32.180 --> 01:01:37.740]  I ja mówię dlatego że chciałam zrobić to ćwiczenie.
[01:01:37.740 --> 01:01:43.820]  Albo bo chciałam zrobić to ćwiczenie, albo ponieważ chciałam zrobić to ćwiczenie.
[01:01:43.820 --> 01:01:47.420]  And this three conjunction means because.
[01:01:47.420 --> 01:01:49.420]  Because.
[01:01:49.420 --> 01:01:51.420]  No to dobrze.
[01:01:59.420 --> 01:02:16.860] , to teraz powiedzcie mi.
[01:02:16.860 --> 01:02:18.860]  Siódmy dzień tygodnia to?
[01:02:18.860 --> 01:02:20.860]  Siedem.
[01:02:20.860 --> 01:02:23.860]  Idę teraz, ja czytam to.
[01:02:23.860 --> 01:02:26.860]  Czytam to i siódmy dzień tygodnia to?
[01:02:26.860 --> 01:02:28.860]  Niedziela. Niedziela.
[01:02:29.420 --> 01:02:31.420]  Trzeci dzień tygodnia to?
[01:02:31.420 --> 01:02:33.420]  Wtorek. Wtorek.
[01:02:33.420 --> 01:02:35.420]  Trzeci dzień tygodnia to?
[01:02:35.420 --> 01:02:39.420]  Środa. Środa.
[01:02:39.420 --> 01:02:41.420]  Czwarty dzień tygodnia to?
[01:02:41.420 --> 01:02:43.420]  Czwartek.
[01:02:43.420 --> 01:02:45.420]  Czwartek.
[01:02:45.420 --> 01:02:47.420]  Czwartek, tak.
[01:02:47.420 --> 01:02:49.420]  Czwartek.
[01:02:49.420 --> 01:02:51.420]  Popatrzmy sobie tam jak to piszemy.
[01:02:51.420 --> 01:02:53.420]  Czwartek.
[01:02:53.420 --> 01:02:55.420]  Dobrze.
[01:02:59.420 --> 01:03:05.420]  Piąty dzień tygodnia to?
[01:03:05.420 --> 01:03:09.420]  Piątek. Piątek.
[01:03:09.420 --> 01:03:11.420]  Piątek.
[01:03:11.420 --> 01:03:13.420]  Szósty dzień tygodnia to?
[01:03:13.420 --> 01:03:17.420]  Sobota. Sobota.
[01:03:17.420 --> 01:03:21.420]  I pierwszy dzień tygodnia to?
[01:03:21.420 --> 01:03:25.420]  Poniedziałek. Poniedziałek.
[01:03:25.420 --> 01:03:27.420]  Doszedł?
[01:03:27.420 --> 01:03:29.420]  Doszedł.
[01:03:29.420 --> 01:03:31.420]  No teraz poproszę do Pana zadanie.
[01:03:31.420 --> 01:03:35.420]  Może Pani powiedzieć drugi dzień tygodnia, piąty dzień tygodnia.
[01:03:35.420 --> 01:03:39.420]  And you have to say what is this piąty dzień tygodnia,
[01:03:39.420 --> 01:03:41.420]  a już siódmy dzień tygodnia.
[01:03:41.420 --> 01:03:43.420]  Dobrze?
[01:03:43.420 --> 01:03:45.420]  To...
[01:03:45.420 --> 01:03:47.420]  Czwarty dzień tygodnia.
[01:03:47.420 --> 01:03:49.420]  Który?
[01:03:49.420 --> 01:03:51.420]  Czwarty.
[01:03:51.420 --> 01:03:53.420]  Czwarty dzień tygodnia.
[01:03:53.420 --> 01:03:55.420]  Czwartek.
[01:03:55.420 --> 01:03:57.420]  To czwarty. Super dla Pana.
[01:03:57.420 --> 01:03:59.420]  Siedmiesty dzień tygodnia.
[01:03:59.420 --> 01:04:01.420]  Jaki?
[01:04:01.420 --> 01:04:03.420]  Siódmy dzień tygodnia.
[01:04:03.420 --> 01:04:05.420]  Siódmy.
[01:04:05.420 --> 01:04:07.420]  Siódmy.
[01:04:07.420 --> 01:04:09.420]  Tak, siódmy.
[01:04:09.420 --> 01:04:11.420]  Siódmy.
[01:04:11.420 --> 01:04:13.420]  To...
[01:04:13.420 --> 01:04:15.420]  Nie...
[01:04:15.420 --> 01:04:17.420]  Nie co?
[01:04:17.420 --> 01:04:19.420]  Tak, poniedziela.
[01:04:19.420 --> 01:04:21.420]  Siódmy dzień tygodnia to niedziela.
[01:04:21.420 --> 01:04:23.420]  Ehm...
[01:04:23.420 --> 01:04:25.420]  Czwarty...
[01:04:25.420 --> 01:04:27.420]  To...
[01:04:27.420 --> 01:04:29.420]  To...
[01:04:29.420 --> 01:04:31.420]  Trze...
[01:04:31.420 --> 01:04:33.420]  Trzeci...
[01:04:33.420 --> 01:04:35.420]  Dzień...
[01:04:35.420 --> 01:04:37.420]  Tygodnia.
[01:04:37.420 --> 01:04:39.420]  Tygodnia.
[01:04:39.420 --> 01:04:41.420]  Trzeci.
[01:04:41.420 --> 01:04:43.420]  Trzeci dzień tygodnia.
[01:04:43.420 --> 01:04:45.420]  Trzeci dzień tygodnia.
[01:04:45.420 --> 01:04:47.420]  Trzeci.
[01:04:47.420 --> 01:04:49.420]  Trzeci.
[01:04:49.420 --> 01:04:51.420]  Trzeci.
[01:04:51.420 --> 01:04:53.420]  Tu.
[01:04:53.420 --> 01:04:55.420]  Siódmy.
[01:04:55.420 --> 01:04:57.420]  Środa.
[01:04:57.420 --> 01:04:59.420]  Środa.
[01:04:59.420 --> 01:05:01.420]  Środa, tak.
[01:05:01.420 --> 01:05:03.420]  Wednesday.
[01:05:03.420 --> 01:05:05.420]  Wednesday to jest środa.
[01:05:05.420 --> 01:05:07.420]  Środa.
[01:05:07.420 --> 01:05:09.420]  Środa. Wednesday.
[01:05:09.420 --> 01:05:11.420]  Dobrze.
[01:05:11.420 --> 01:05:13.420]  To teraz siódmy dzień tygodnia.
[01:05:13.420 --> 01:05:15.420]  Siódmy.
[01:05:15.420 --> 01:05:17.420]  Niedziela.
[01:05:17.420 --> 01:05:19.420]  Niedziela.
[01:05:19.420 --> 01:05:21.420]  Drugi...
[01:05:21.420 --> 01:05:23.420]  Mary?
[01:05:23.420 --> 01:05:25.420]  Ehm...
[01:05:25.420 --> 01:05:27.420]  P...
[01:05:27.420 --> 01:05:29.420]  Pą...
[01:05:29.420 --> 01:05:31.420]  Pącwiadek?
[01:05:31.420 --> 01:05:33.420]  W momencie, w momencie, proszę popatrzeć.
[01:05:33.420 --> 01:05:35.420]  Poniedziałek to jest pierwszy.
[01:05:35.420 --> 01:05:37.420]  The first one, tak?
[01:05:37.420 --> 01:05:39.420]  In the week.
[01:05:39.420 --> 01:05:41.420]  A to jest drugi.
[01:05:41.420 --> 01:05:43.420]  The second day.
[01:05:43.420 --> 01:05:45.420]  The second day in the week, czyli...
[01:05:45.420 --> 01:05:47.420]  Wartek?
[01:05:47.420 --> 01:05:49.420]  Wartek?
[01:05:49.420 --> 01:05:51.420]  Tu jest czwartek.
[01:05:51.420 --> 01:05:53.420]  A tu jest wtorek.
[01:05:53.420 --> 01:05:55.420]  Ok. Wtorek.
[01:05:55.420 --> 01:05:57.420]  Wtorek. To jest wtorek.
[01:05:57.420 --> 01:05:59.420]  Dzisiaj jest wtorek.
[01:05:59.420 --> 01:06:01.420]  Wtorek.
[01:06:01.420 --> 01:06:03.420]  Tak, tak, tak. No to super.
[01:06:03.420 --> 01:06:05.420]  Dzisiaj jest...
[01:06:05.420 --> 01:06:07.420]  Dzisiaj jest wtorek.
[01:06:07.420 --> 01:06:09.420]  Wtorek.
[01:06:09.420 --> 01:06:11.420]  Wtorek. Tuesday.
[01:06:11.420 --> 01:06:13.420]  Dzisiaj jest wtorek.
[01:06:13.420 --> 01:06:15.420]  Jutro jest środa.
[01:06:15.420 --> 01:06:17.420]  Jutro.
[01:06:17.420 --> 01:06:19.420]  Jutro.
[01:06:19.420 --> 01:06:21.420]  Tomorrow.
[01:06:21.420 --> 01:06:23.420]  Jutro. Jest.
[01:06:23.420 --> 01:06:25.420]  Jest. Środa. Środa.
[01:06:25.420 --> 01:06:27.420]  Dzisiaj jest wtorek.
[01:06:27.420 --> 01:06:29.420]  Dzisiaj jest wtorek.
[01:06:29.420 --> 01:06:31.420]  No i super. To teraz uwaga.
[01:06:31.420 --> 01:06:33.420]  Kontynuacja.
[01:06:33.420 --> 01:06:35.420]  Kontynuacja.
[01:06:35.420 --> 01:06:37.420]  Tak, tak.
[01:06:37.420 --> 01:06:39.420]  Świetnie. Czyli mamy...
[01:06:39.420 --> 01:06:41.420]  Długi list.
[01:06:41.420 --> 01:06:43.420]  Będzie...
[01:06:43.420 --> 01:06:45.420]  Kontynuujemy. Mamy też
[01:06:45.420 --> 01:06:47.420]  ordinal numbers dla 8,
[01:06:47.420 --> 01:06:49.420]  9, 10 i tak dalej.
[01:06:49.420 --> 01:06:51.420]  I for us,
[01:06:51.420 --> 01:06:53.420]  now the goal is
[01:06:53.420 --> 01:06:55.420]  24, because we want
[01:06:55.420 --> 01:06:57.420]  to answer the question,
[01:06:57.420 --> 01:06:59.420]  która jest godzina?
[01:06:59.420 --> 01:07:01.420]  Która jest godzina? I mamy
[01:07:01.420 --> 01:07:03.420]  system 12,
[01:07:03.420 --> 01:07:05.420]  albo system 24,
[01:07:05.420 --> 01:07:07.420]  gdzie precyzyjnie
[01:07:07.420 --> 01:07:09.420]  mamy informację,
[01:07:09.420 --> 01:07:11.420]  która jest godzina?
[01:07:11.420 --> 01:07:13.420]  Teraz jest godzina...
[01:07:13.420 --> 01:07:15.420]  Która jest godzina?
[01:07:15.420 --> 01:07:17.420]  Która jest godzina?
[01:07:17.420 --> 01:07:19.420]  Jest 10,
[01:07:19.420 --> 01:07:21.420]  30, 40.
[01:07:21.420 --> 01:07:23.420]  10 za 40.
[01:07:23.420 --> 01:07:25.420]  I ja kontynuuję
[01:07:25.420 --> 01:07:27.420]  teraz od 7.
[01:07:27.420 --> 01:07:29.420]  Będę kontynuować to tu.
[01:07:29.420 --> 01:07:31.420]  Napiszemy sobie,
[01:07:31.420 --> 01:07:33.420]  że
[01:07:33.420 --> 01:07:35.420]  oryginalny numer dla 8
[01:07:35.420 --> 01:07:37.420]  to jest 8.
[01:07:37.420 --> 01:07:39.420]  8 godzina
[01:07:39.420 --> 01:07:41.420]  na przykład. Która godzina?
[01:07:41.420 --> 01:07:43.420]  8.
[01:07:43.420 --> 01:07:45.420]  I
[01:07:45.420 --> 01:07:47.420]  8 miesiąc
[01:07:47.420 --> 01:07:49.420]  na przykład. 8
[01:07:49.420 --> 01:07:51.420]  8,
[01:07:51.420 --> 01:07:53.420]  8. Już nie
[01:07:53.420 --> 01:07:55.420]  piszę 3 razy,
[01:07:55.420 --> 01:07:57.420]  tylko piszę n.
[01:07:57.420 --> 01:07:59.420]  Teraz jest 9
[01:07:59.420 --> 01:08:01.420]  i 9.
[01:08:01.420 --> 01:08:03.420]  9.
[01:08:03.420 --> 01:08:05.420]  9.
[01:08:05.420 --> 01:08:07.420]  Przepraszam.
[01:08:07.420 --> 01:08:09.420]  9,
[01:08:09.420 --> 01:08:11.420]  9, 9.
[01:08:13.420 --> 01:08:15.420]  Tu mamy
[01:08:15.420 --> 01:08:17.420]  10.
[01:08:19.420 --> 01:08:21.420]  10,
[01:08:21.420 --> 01:08:23.420]  10,
[01:08:23.420 --> 01:08:25.420]  10.
[01:08:25.420 --> 01:08:27.420]  9,
[01:08:27.420 --> 01:08:29.420]  10.
[01:08:29.420 --> 01:08:31.420]  No to teraz grupa.
[01:08:31.420 --> 01:08:33.420]  11.
[01:08:33.420 --> 01:08:35.420]  11. Super.
[01:08:35.420 --> 01:08:37.420]  11.
[01:08:37.420 --> 01:08:39.420]  11,
[01:08:39.420 --> 01:08:41.420]  11,
[01:08:41.420 --> 01:08:43.420]  11.
[01:08:43.420 --> 01:08:45.420]  11.
[01:08:45.420 --> 01:08:47.420]  Mhm.
[01:08:47.420 --> 01:08:49.420]  Mhm.
[01:08:49.420 --> 01:08:51.420]  12.
[01:08:51.420 --> 01:08:53.420]  12.
[01:08:53.420 --> 01:08:55.420]  12.
[01:08:55.420 --> 01:08:57.420]  12.
[01:08:57.420 --> 01:08:59.420]  12.
[01:08:59.420 --> 01:09:01.420]  12.
[01:09:01.420 --> 01:09:03.420]  12.
[01:09:03.420 --> 01:09:05.420]  12.
[01:09:05.420 --> 01:09:07.420]  12.
[01:09:07.420 --> 01:09:09.420]  17.
[01:09:09.420 --> 01:09:11.420]  Super.
[01:09:11.420 --> 01:09:13.420]  Dziś jest 13?
[01:09:13.420 --> 01:09:15.420]  Nie. Dziś jest 14.
[01:09:15.420 --> 01:09:17.420]  13.
[01:09:17.420 --> 01:09:23.420]  13.
[01:09:23.420 --> 01:09:25.420]  14?
[01:09:25.420 --> 01:09:27.420]  Tak jest. Pięknie. 14.
[01:09:27.420 --> 01:09:29.420]  14.
[01:09:29.420 --> 01:09:31.420]  14.
[01:09:31.420 --> 01:09:33.420]  Dzisiaj jest
[01:09:33.420 --> 01:09:35.420]  14.
[01:09:35.420 --> 01:09:37.420]  14.
[01:09:37.420 --> 01:09:39.420]  14.
[01:09:39.420 --> 01:09:41.420]  14.
[01:09:41.420 --> 01:09:43.420]  15.
[01:09:43.420 --> 01:09:45.420]  15.
[01:09:45.420 --> 01:09:47.420]  15.
[01:09:47.420 --> 01:09:49.420]  15.
[01:09:49.420 --> 01:09:51.660]  5,
[01:09:51.660 --> 01:09:52.660]  5.
[01:09:52.660 --> 01:09:52.720]  12.
[01:09:52.720 --> 01:09:53.680]  15,
[01:09:53.680 --> 01:09:54.760]  15.
[01:09:54.760 --> 01:09:55.660]  15.
[01:09:55.660 --> 01:09:56.480]  15.
[01:09:56.680 --> 01:09:57.940]  15.
[01:10:04.660 --> 01:10:06.420]  16.
[01:10:06.420 --> 01:10:08.080]  Dobrze, 16.
[01:10:11.460 --> 01:10:13.420]  16,16,16 ,
[01:10:13.420 --> 01:10:15.420]  16, 16
[01:10:15.420 --> 01:10:17.420]  16.
[01:10:17.420 --> 01:10:25.420]  17 ag Egyptians Did You Lie?
[01:10:27.120 --> 01:10:28.360] cken Jones
[01:10:28.420 --> 01:10:29.620]  James Meyer
[01:10:29.620 --> 01:10:30.620]  John Paul
[01:10:30.620 --> 01:10:31.620]  thousands of Hogard Sittens
[01:10:31.620 --> 01:10:32.640]  HTTP
[01:10:32.640 --> 01:10:33.420]  internet
[01:10:33.420 --> 01:10:34.220]  website
[01:10:34.220 --> 01:10:35.000]  internet
[01:10:35.000 --> 01:10:35.680]  internet
[01:10:35.680 --> 01:10:36.240]  internet
[01:10:36.240 --> 01:10:36.720]  site
[01:10:36.720 --> 01:10:37.540]  hard Create
[01:10:38.940 --> 01:10:39.520]  baked
[01:10:39.520 --> 01:10:39.920]  online
[01:10:39.920 --> 01:10:40.420]  online
[01:10:40.420 --> 01:10:45.840] 見
[01:10:45.840 --> 01:10:46.580]  telegram
[01:10:46.580 --> 01:10:53.580]  17, 17, 17.
[01:10:53.580 --> 01:10:57.580]  18.
[01:10:57.580 --> 01:11:00.580]  18.
[01:11:00.580 --> 01:11:09.580]  18, 18.
[01:11:09.580 --> 01:11:30.580]  19, 19, 19.
[01:11:30.580 --> 01:11:35.580]  Świetnie.
[01:11:35.580 --> 01:11:37.580]  20.
[01:11:37.580 --> 01:11:39.580]  20.
[01:11:39.580 --> 01:11:40.580]  Świetnie.
[01:11:40.580 --> 01:11:42.580]  20.
[01:11:42.580 --> 01:11:47.580]  Tak jak był 12, teraz jest 20.
