[00:00.000 --> 00:02.000]  Inna opcja?
[40:11.660 --> 40:12.660]  Sześć.
[40:12.660 --> 40:13.660]  Szość.
[40:13.660 --> 40:14.660]  Osiemnasta.
[40:14.660 --> 40:15.660]  Osiemnasta.
[40:15.660 --> 40:16.660]  Osiemnasta.
[40:16.660 --> 40:17.660]  Pięknie.
[40:17.660 --> 40:18.660]  Pięknie.
[40:18.660 --> 40:19.660]  Osiemnasta.
[40:19.660 --> 40:22.660]  Czyli po południu będzie do osiemnastej na przykład.
[40:22.660 --> 40:23.160]  Ok.
[40:23.160 --> 40:24.160]  I do której jest wieczór?
[40:24.160 --> 40:24.660]  Osiemnasta.
[40:25.160 --> 40:26.660]  A kiedy zaczyna się noc?
[40:26.660 --> 40:28.160]  Jak Państwo myślą?
[40:28.160 --> 40:29.160]  Według Was.
[40:29.160 --> 40:31.160]  Później.
[40:36.160 --> 40:39.160]  Dwudziesta druga.
[40:39.160 --> 40:40.160]  Dwudziesta druga.
[40:40.160 --> 40:41.160]  Zaczyna się noc?
[40:41.160 --> 40:43.160]  Ok.
[40:43.160 --> 40:45.160]  Dobra, niech będzie dwudziesta druga.
[40:45.160 --> 40:49.160]  Czyli wieczór będzie na wieczór dwudziestej drugiej.
[40:49.160 --> 40:53.160]  No i wynikałoby, że noc trwa do szóstej.
[40:53.160 --> 40:54.160]  Mniej więcej.
[40:54.160 --> 40:55.160]  Mniej więcej.
[40:55.160 --> 40:56.160]  Ok.
[40:56.160 --> 40:57.160]  Dobra.
[40:57.160 --> 41:02.160]  Wtedy mamy ciszę nocą.
[41:02.160 --> 41:05.160]  To jest quiet hours.
[41:05.160 --> 41:06.160]  To wiemy.
[41:06.160 --> 41:10.160]  Czyli północ to jest w połowie nocy.
[41:10.160 --> 41:12.160]  Prawie w połowie.
[41:12.160 --> 41:13.160]  Dobra.
[41:13.160 --> 41:15.160]  Potem mamy rano.
[41:15.160 --> 41:16.160]  Ok.
[41:16.160 --> 41:18.160]  Rano mówimy dzień dobry.
[41:18.160 --> 41:21.160]  Przez południem też mówimy dzień dobry.
[41:21.160 --> 41:22.160]  Po południu mówimy dzień dobry.
[41:22.160 --> 41:23.160]  Po południu mówimy dzień dobry.
[41:23.160 --> 41:25.160]  So we don't divide it like...
[41:25.160 --> 41:27.160]  Good morning, good afternoon.
[41:27.160 --> 41:29.160]  We have only dzień dobry for every day.
[41:29.160 --> 41:31.160]  A co mówimy wieczorem?
[41:31.160 --> 41:33.160]  Nie dzień dobry mówimy.
[41:33.160 --> 41:34.160]  Nie dzień dobry.
[41:34.160 --> 41:35.160]  Muszę mówić dzień dobry.
[41:35.160 --> 41:36.160]  A co jeszcze?
[41:36.160 --> 41:37.160]  Dzień dobry, wieczorem.
[41:37.160 --> 41:38.160]  Dobry wieczór.
[41:38.160 --> 41:39.160]  Dobry wieczór.
[41:39.160 --> 41:40.160]  Czyli wieczorem powiemy dobry wieczór.
[41:40.160 --> 41:41.160]  A kiedy mówimy dobranoc?
[41:41.160 --> 41:42.160]  Dobranoc.
[41:42.160 --> 41:43.160]  Dobranoc.
[41:43.160 --> 41:44.160]  Dobranoc.
[41:44.160 --> 41:45.160]  Dobranoc.
[41:45.160 --> 41:46.160]  Dobranoc.
[41:46.160 --> 41:47.160]  Dobranoc.
[41:47.160 --> 41:48.160]  Dobranoc.
[41:48.160 --> 41:49.160]  Dobranoc.
[41:49.160 --> 41:50.160]  Dobranoc.
[41:50.160 --> 41:51.160]  Dobranoc.
[41:51.160 --> 41:52.160]  Dobranoc.
[41:52.160 --> 41:53.160]  Dobranoc.
[41:53.160 --> 41:54.160]  Dobranoc.
[41:54.160 --> 41:55.160]  Dobranoc.
[41:55.160 --> 41:56.160]  Dobranoc.
[41:56.160 --> 41:57.160]  Dobranoc.
[41:57.160 --> 41:58.160]  Dobranoc.
[41:58.160 --> 41:59.160]  Dobranoc.
[41:59.160 --> 42:00.160]  Dobranoc.
[42:00.160 --> 42:01.160]  Dobranoc.
[42:01.160 --> 42:02.160]  Dobranoc.
[42:02.160 --> 42:03.160]  Dobranoc.
[42:03.160 --> 42:04.160]  Dobranoc.
[42:04.160 --> 42:05.160]  Dobranoc.
[42:05.160 --> 42:06.160]  Dobranoc.
[42:06.160 --> 42:07.160]  Dobranoc.
[42:07.160 --> 42:08.160]  Dobranoc.
[42:08.160 --> 42:09.160]  Dobranoc.
[42:09.160 --> 42:10.160]  Dobranoc.
[42:10.160 --> 42:11.160]  Dobranoc.
[42:11.160 --> 42:12.160]  Dobranoc.
[42:12.160 --> 42:13.160]  Dobranoc.
[42:13.160 --> 42:14.160]  Dobranoc.
[42:14.160 --> 42:15.160]  Dobra noc.
[42:15.160 --> 42:16.160]  Dobranoc.
[42:16.160 --> 42:17.160]  Dobranoc TO jest jedno słowo
[42:17.160 --> 42:18.160]  Dobranoc.
[42:18.160 --> 42:19.160]  Dobranoc TO jest jedno słowo
[42:19.160 --> 42:20.120]  Dobranoc TO jest jedno słowo
[42:20.120 --> 42:21.120]  Dobry wieczór, dzień dobry, dwa słowa.
[42:21.120 --> 42:22.120]  Dobranoc TO jest jedno słowo
[42:22.120 --> 42:28.120]  No dobrze, no to w takim razie wiemy, co robimy kiedy, niech będzie, że popołudnie.
[42:28.120 --> 42:32.120]  Może popołudnie.
[42:32.120 --> 42:35.120]  Ok.
[42:35.120 --> 42:37.120]  Popołudnie.
[42:37.120 --> 42:40.120]  Popołudnie.
[42:40.120 --> 42:42.120]  Dobra.
[42:42.120 --> 42:46.120]  Zobaczymy zanim pierwsze tutaj.
[42:46.120 --> 42:48.120]  First cue.
[42:48.120 --> 42:53.120]  Kiedy, kiedy co robimy?
[42:53.120 --> 42:59.120]  Rano, przed południem, w południe, wieczorem, w nocy itd.
[42:59.120 --> 43:00.120]  Ok.
[43:00.120 --> 43:02.120]  Ktoś tu mówi, że budzę się rano.
[43:02.120 --> 43:05.120]  Kiedy Państwo jedzą kolację?
[43:05.120 --> 43:08.120]  When do you eat?
[43:08.120 --> 43:10.120]  Wieczorem.
[43:10.120 --> 43:11.120]  Wieczorem?
[43:11.120 --> 43:12.120]  Mhm.
[43:12.120 --> 43:17.120]  Dobra.
[43:17.120 --> 43:18.120]  Ok.
[43:18.120 --> 43:19.120]  I co robisz?
[43:19.120 --> 43:26.120]  Rano, przed południem, w południe, ok.
[43:26.120 --> 43:29.120]  To będzie mianownik.
[43:29.120 --> 43:32.120]  To jest rano, to jest południe.
[43:32.120 --> 43:34.120]  Ale kiedy coś robię?
[43:34.120 --> 43:36.120]  When I do something.
[43:36.120 --> 43:38.120]  I do something rano.
[43:38.120 --> 43:39.120]  The same.
[43:39.120 --> 43:43.120]  Ale I do something wieczorem.
[43:43.120 --> 43:47.120]  So this is evening.
[43:47.120 --> 43:48.120]  Just evening.
[43:48.120 --> 43:49.120]  But this is in the evening.
[43:49.120 --> 43:50.120]  I do something in the evening.
[43:50.120 --> 43:51.120]  Wieczorem, w nocy.
[43:51.120 --> 43:52.120]  So this is night, but this is in the night, during the night.
[43:52.120 --> 43:53.120]  Mhm.
[43:53.120 --> 43:58.120]  Ok.
[43:58.120 --> 44:00.120]  I to jest noc?
[44:00.120 --> 44:01.120]  Noc.
[44:01.120 --> 44:02.120]  Noc.
[44:02.120 --> 44:03.120]  Noc.
[44:03.120 --> 44:04.120]  Noc.
[44:04.120 --> 44:05.120]  Noc.
[44:05.120 --> 44:06.120]  Noc.
[44:06.120 --> 44:07.120]  Noc.
[44:07.120 --> 44:08.120]  Noc.
[44:08.120 --> 44:09.120]  Noc.
[44:09.120 --> 44:10.120]  Noc.
[44:10.120 --> 44:11.120]  Noc.
[44:11.120 --> 44:12.120]  Noc.
[44:12.120 --> 44:13.120]  Noc.
[44:13.120 --> 44:14.120]  Noc.
[44:14.120 --> 44:15.120]  Noc.
[44:15.120 --> 44:16.120]  Noc.
[44:16.120 --> 44:19.120]  I to jest po południe.
[44:19.120 --> 44:22.120]  This is po południe, afternoon.
[44:22.120 --> 44:25.120]  But I do something po południu.
[44:25.120 --> 44:28.120]  In the afternoon.
[44:36.120 --> 44:39.120]  Ale południo jest samo.
[44:39.120 --> 44:40.120]  Tak?
[44:40.120 --> 44:42.120]  In the afternoon.
[44:42.120 --> 44:45.120]  At afternoon it will still be południe.
[44:45.120 --> 44:47.120]  Południe.
[44:47.120 --> 44:48.120]  Po południe.
[44:48.120 --> 44:49.120]  Ale tak.
[44:49.120 --> 44:51.120]  To jest południe.
[44:51.120 --> 44:53.120]  To jest...
[44:55.120 --> 44:57.120]  To się zepsam.
[44:59.120 --> 45:01.120]  Południe.
[45:01.120 --> 45:02.120]  Ja.
[45:05.120 --> 45:07.120]  Chwileczkę.
[45:15.120 --> 45:17.120]  Południe.
[45:17.120 --> 45:19.120]  Południe.
[45:19.120 --> 45:20.120]  Południe.
[45:20.120 --> 45:21.120]  Tak.
[45:21.120 --> 45:23.120]  Południe.
[45:23.120 --> 45:25.120]  Czyli to jest afternoon.
[45:25.120 --> 45:26.120]  Południe.
[45:26.120 --> 45:29.120]  I do something in the afternoon.
[45:29.120 --> 45:32.120]  Południe.
[45:32.120 --> 45:34.120]  Południe.
[45:34.120 --> 45:37.120]  I do something w południe.
[45:37.120 --> 45:39.120]  So in the noon.
[45:39.120 --> 45:45.120]  Noon.
[45:45.120 --> 45:47.120]  I to zostaje.
[45:47.120 --> 45:48.120]  To jest rano.
[45:48.120 --> 45:50.120]  I do something rano.
[45:50.120 --> 45:51.120]  The same.
[45:51.120 --> 45:53.120]  Przed południem.
[45:53.120 --> 45:55.120]  I do something przed południem.
[45:55.120 --> 45:56.120]  The same.
[45:56.120 --> 45:57.120]  Południe.
[45:57.120 --> 46:01.120]  I do something in the południe.
[46:01.120 --> 46:04.120]  So in the noon.
[46:04.120 --> 46:05.120]  Po południe.
[46:05.120 --> 46:08.120]  I do something po południu.
[46:08.120 --> 46:10.120]  So in the afternoon.
[46:10.120 --> 46:11.120]  Wieczór.
[46:11.120 --> 46:14.120]  I do something wieczorem.
[46:14.120 --> 46:16.120]  In the evening.
[46:16.120 --> 46:17.120]  Noc.
[46:17.120 --> 46:20.120]  I do something w nocy.
[46:20.120 --> 46:22.120]  In the night.
[46:22.120 --> 46:23.120]  Północ.
[46:23.120 --> 46:25.120]  I do something of.
[46:25.120 --> 46:27.120]  Północy.
[46:27.120 --> 46:30.120]  So at the midnight.
[46:30.120 --> 46:32.120]  At midnight.
[46:38.120 --> 46:47.120]  No dobrze, to wróćmy w taki raz do tego pierwszego.
[46:47.120 --> 46:49.120]  Czyli jem kolację.
[46:49.120 --> 46:51.120]  Kiedy jem kolację?
[46:51.120 --> 46:52.120]  Wieczorem.
[46:52.120 --> 46:54.120]  Wieczorem.
[46:54.120 --> 47:00.120]  A kiedy robię zakupy?
[47:00.120 --> 47:02.120]  Południe.
[47:02.120 --> 47:03.120]  Po południu.
[47:03.120 --> 47:04.120]  Przed południem.
[47:04.120 --> 47:06.120]  So in the afternoon.
[47:06.120 --> 47:07.120]  Po południu.
[47:07.120 --> 47:11.120]  A kiedy spotykam się ze znajomymi?
[47:11.120 --> 47:16.120]  Po południu.
[47:16.120 --> 47:18.120]  Po południu może być albo?
[47:18.120 --> 47:19.120]  Wieczorem.
[47:19.120 --> 47:21.120]  Wieczorem też może być.
[47:21.120 --> 47:26.120]  Proszę, to co znałaś?
[47:26.120 --> 47:28.120]  Franc.
[47:28.120 --> 47:29.120]  Franc.
[47:29.120 --> 47:31.120]  Mhm.
[47:31.120 --> 47:33.120]  Kiedy jem obiad?
[47:33.120 --> 47:35.120]  Kiedy jem obiad?
[47:35.120 --> 47:37.120]  Kiedy jem obiad?
[47:37.120 --> 47:38.120]  Południu.
[47:38.120 --> 47:39.120]  W południu.
[47:39.120 --> 47:40.120]  W południe.
[47:40.120 --> 47:41.120]  W południe.
[47:41.120 --> 47:42.120]  W południe.
[47:42.120 --> 47:43.120]  W południe.
[47:43.120 --> 47:44.120]  Wcześnie?
[47:44.120 --> 47:45.120]  Tak, wcześnie.
[47:45.120 --> 47:46.120]  Okej, dobra.
[47:46.120 --> 47:49.120]  Dobra, albo możemy jeść obiad kiedy?
[47:49.120 --> 47:50.120]  Po południu na przykład.
[47:50.120 --> 47:51.120]  Mhm.
[47:51.120 --> 47:52.120]  A kiedy jem śniadanie?
[47:52.120 --> 47:53.120]  Rano.
[47:53.120 --> 47:54.120]  Rano, raczej rano.
[47:54.120 --> 47:55.120]  Okej, a góry?
[47:55.120 --> 47:56.120]  A góry?
[47:56.120 --> 47:57.120]  A góry?
[47:57.120 --> 47:58.120]  A góry?
[47:58.120 --> 47:59.120]  A góry?
[47:59.120 --> 48:00.120]  A góry?
[48:00.120 --> 48:01.120]  A góry?
[48:01.120 --> 48:02.120]  A góry?
[48:02.120 --> 48:03.120]  A góry?
[48:03.120 --> 48:04.120]  A góry?
[48:04.120 --> 48:08.700]  A girls obiadoodle op plotą Iasi o jeńOverflora w
[48:08.700 --> 48:09.700]  trzenu?
[48:09.700 --> 48:10.700]  Od rany, tak?
[48:10.700 --> 48:11.700]  Od rana?
[48:11.700 --> 48:12.700]  Od rany?
[48:12.700 --> 48:18.520]  E ejレ signatures i skan
[48:18.520 --> 48:30.700]  bo ja nam i moja przyjació.
[48:30.700 --> 48:31.880]  Huhu.
[48:31.880 --> 48:33.020]  Dobra.
[48:33.020 --> 48:34.020]  Dobrze?
[48:34.020 --> 48:39.020]  O północy.
[48:39.020 --> 48:46.020]  Coś jest w południe, ale o północy.
[48:46.020 --> 48:48.020]  I don't know why.
[48:55.020 --> 48:57.020]  O, mord? Nie, nie ma.
[48:57.020 --> 49:04.020]  Because południe to jest...
[49:04.020 --> 49:07.020]  Południe to jest rodzaj nijaki.
[49:07.020 --> 49:11.020]  Ale północ to jest rodzaj żeński.
[49:11.020 --> 49:13.020]  Żeński.
[49:13.020 --> 49:15.020]  O, jak żeński, tak.
[49:15.020 --> 49:20.020]  A godzina 17 jest kiedy?
[49:20.020 --> 49:24.020]  Wieczorem?
[49:24.020 --> 49:26.020]  17 wieczorem?
[49:26.020 --> 49:30.020]  Nie, nie, nie, nie, nie, nie, nie, nie.
[49:30.020 --> 49:33.020]  17.
[49:33.020 --> 49:35.020]  17 wieczorem.
[49:35.020 --> 49:37.020]  17.
[49:37.020 --> 49:39.020]  Po północ.
[49:39.020 --> 49:41.020]  Po północ.
[49:41.020 --> 49:44.020]  17 wieczorem to jest 5.
[49:44.020 --> 49:48.020]  17 wieczorem to jest...
[49:48.020 --> 49:50.020]  17.
[49:50.020 --> 49:52.020]  A kiedy idziesz spać?
[49:52.020 --> 49:55.020]  W nocy.
[49:55.020 --> 49:57.020]  W nocy?
[49:57.020 --> 49:58.020]  W nocy.
[49:58.020 --> 49:59.020]  Mhm.
[49:59.020 --> 50:02.020]  A kiedy zwykle piszesz e-maile?
[50:02.020 --> 50:04.020]  O, no.
[50:04.020 --> 50:05.020]  No, no.
[50:05.020 --> 50:09.020]  Rano, po południu, wieczorem.
[50:09.020 --> 50:10.020]  W nocy?
[50:10.020 --> 50:12.020]  W nocy, w północy.
[50:12.020 --> 50:13.020]  Czasem.
[50:13.020 --> 50:15.020]  Always working.
[50:15.020 --> 50:17.020]  Mhm.
[50:17.020 --> 50:19.020]  No, to niedobrze.
[50:23.020 --> 50:24.020]  Dobrze.
[50:25.020 --> 50:42.020]  Jeszcze raz.
[50:42.020 --> 50:46.020]  Zobaczmy zadanie 4, z drugiej strony.
[50:46.020 --> 50:51.020]  Cztery.
[50:51.020 --> 50:53.020]  Okej.
[50:53.020 --> 50:55.020]  Tutaj też będziemy...
[50:55.020 --> 51:17.020]  słuchać. They are going to listen as well. To jest tekst, w którym ktoś opisuje dzień, czyli jak wygląda dzień tej osoby. I ta osoba mówi co robi rano, co robi wieczorem, w którym południu itd.
[51:17.020 --> 51:30.020]  My będziemy słuchać i musimy napisać co ta osoba robi. To teraz tak, proszę przeczytać tak szybko.
[51:30.020 --> 51:32.020]  Ja będę rzucała.
[51:47.020 --> 52:05.020]  Co to różnica między wygląda i ogląda?
[52:05.020 --> 52:15.020]  Różnica między wygląda i ogląda.
[52:15.020 --> 52:16.020]  I ogląda.
[52:16.020 --> 52:17.020]  I ogląda.
[52:17.020 --> 52:20.020]  To jest różnica między wygląda i ogląda.
[52:20.020 --> 52:26.020]  Wygląda, ktoś wygląda.
[52:26.020 --> 52:31.020]  Co oglądam, na przykład.
[52:31.020 --> 52:34.020]  Co mogę zobaczyć.
[52:34.020 --> 52:39.020]  Wyglądam, jak wyglądam, ale oglądam, co widzę.
[53:17.020 --> 53:47.000]  Dzień dobry.
[53:47.020 --> 54:17.000]  Dzień dobry.
[54:17.020 --> 54:47.000]  Dzień dobry.
[54:47.020 --> 55:17.000]  Dzień dobry.
[55:17.020 --> 55:19.020]  Dzień dobry.
[55:19.020 --> 55:19.600]  Dzień dobry.
[55:19.600 --> 55:21.020]  Dzień dobry.
[55:21.020 --> 55:23.020]  Dzień dobry.
[55:23.020 --> 55:25.020]  Dzień dobry.
[55:25.020 --> 55:27.020]  Czy są pytania?
[55:27.020 --> 55:31.020]  Nie pamiętam, co to znaczy?
[55:31.020 --> 55:33.020]  Około?
[55:33.020 --> 55:35.020]  Około.
[55:35.020 --> 55:37.020]  I dopiero?
[55:37.020 --> 55:39.020]  Dopiero o siódme?
[55:39.020 --> 55:41.020]  Linia jeden?
[55:41.020 --> 55:43.020]  Mhm.
[55:43.020 --> 55:45.020]  Dopiero.
[55:45.020 --> 55:47.020]  Dopiero.
[55:47.020 --> 55:49.020]  Liste?
[55:49.020 --> 55:51.020]  Nie.
[55:51.020 --> 55:53.020]  Numer cztery.
[55:53.020 --> 55:55.020]  W drugiej stronie.
[55:55.020 --> 55:57.020]  Tak, na dole.
[55:57.020 --> 55:59.020]  Dopiero.
[55:59.020 --> 56:01.020]  Finally?
[56:01.020 --> 56:03.020]  At least.
[56:03.020 --> 56:05.020]  Na przykład,
[56:05.020 --> 56:07.020]  nie wiem, coś,
[56:07.020 --> 56:09.020]  dopiero o siódmej.
[56:09.020 --> 56:11.020]  So it's a bit late.
[56:11.020 --> 56:13.020]  A, ok.
[56:13.020 --> 56:15.020]  Dopiero is like I should have done it before,
[56:15.020 --> 56:17.020]  but I did it dopiero o siódmej.
[56:17.020 --> 56:19.020]  No dobra, uwaga.
[56:19.020 --> 56:21.020]  Próbujemy.
[56:21.020 --> 56:23.020]  Będziemy słuchać dwa razy,
[56:23.020 --> 56:25.020]  może trzy.
[56:25.020 --> 56:27.020]  To są krótkie słowa,
[56:27.020 --> 56:29.020]  więc zobacz.
[56:29.020 --> 56:31.020]  Ok.
[56:31.020 --> 56:33.020]  Uwaga, uwaga.
[56:33.020 --> 56:35.020]  Lekcja siódma.
[56:35.020 --> 56:37.020]  Ćwiczenie 9a.
[56:41.020 --> 56:43.020]  Jak wygląda mój dzień?
[56:43.020 --> 56:45.020]  Codziennie budzę się o w pół do siódmej,
[56:45.020 --> 56:47.020]  ale wstaję w śniadanie.
[56:47.020 --> 56:49.020]  Dopiero o siódmej.
[56:49.020 --> 56:51.020]  A nie, przepraszam,
[56:51.020 --> 56:53.020]  nie codziennie.
[56:53.020 --> 56:55.020]  W weekendy zawsze śpię długo.
[56:55.020 --> 56:57.020]  Do dziewiątej albo dziesiątej.
[56:57.020 --> 56:59.020]  Biorę prysznic,
[56:59.020 --> 57:01.020]  myję zęby
[57:01.020 --> 57:03.020]  i robię kawę.
[57:03.020 --> 57:05.020]  Robię też krótką gimnastykę.
[57:05.020 --> 57:07.020]  Potem piję kawę
[57:07.020 --> 57:09.020]  i planuję dzień.
[57:09.020 --> 57:11.020]  Śniadanie jem nie w domu,
[57:11.020 --> 57:13.020]  ale w pracy.
[57:13.020 --> 57:15.020]  Zawsze kupuję kanapkę w małym sklepie spożywczym,
[57:15.020 --> 57:17.020]  blisko mojej pracy.
[57:17.020 --> 57:19.020]  Do pracy zwykle jeżdżę tramwajem.
[57:19.020 --> 57:21.020]  Od czasu do czasu,
[57:21.020 --> 57:23.020]  na przykład kiedy jestem spóźniona,
[57:23.020 --> 57:25.020]  jeżdżę taksówką.
[57:25.020 --> 57:27.020]  Jestem asystentką dyrektora
[57:27.020 --> 57:29.020]  i w pracy dużo mailuję
[57:29.020 --> 57:31.020]  i rozmawiam przez telefon.
[57:31.020 --> 57:33.020]  Zawsze w południe
[57:33.020 --> 57:35.020]  robię krótką przerwę.
[57:35.020 --> 57:37.020]  Zwykle chodzę do baru,
[57:37.020 --> 57:39.020]  który jest blisko.
[57:39.020 --> 57:41.020]  Kupuję tam sałatkę
[57:41.020 --> 57:43.020]  albo barszcz czerwony.
[57:43.020 --> 57:45.020]  Wracam do domu po południu.
[57:45.020 --> 57:47.020]  Zwykle jestem w domu około 5.
[57:47.020 --> 57:49.020]  Czasem o w pół do 6.
[57:49.020 --> 57:51.020]  Po południu trochę oglądam telewizję
[57:51.020 --> 57:53.020]  albo czytam gazetę.
[57:53.020 --> 57:55.020]  We wtorki
[57:55.020 --> 57:57.020]  zawsze chodzę pływać
[57:57.020 --> 57:59.020]  z przyjaciółką.
[57:59.020 --> 58:01.020]  Bardzo lubię rozmawiać
[58:01.020 --> 58:03.020]  przez telefon ze znajomymi.
[58:03.020 --> 58:05.020]  Czasem rozmawiam bardzo długo,
[58:05.020 --> 58:07.020]  dwie albo trzy godziny
[58:07.020 --> 58:09.020]  i jest już wieczór.
[58:09.020 --> 58:11.020]  Wieczorem chodzę na spacer
[58:11.020 --> 58:13.020]  i zaznaczam się na kogoś.
[58:13.020 --> 58:15.020]  Czasem mam spacer,
[58:15.020 --> 58:17.020]  który mieszka blisko mnie.
[58:17.020 --> 58:19.020]  Czasem biegamy też razem.
[58:19.020 --> 58:21.020]  Zwykle chodzę spać
[58:21.020 --> 58:23.020]  około 11.
[58:23.020 --> 58:25.020]  No może o w pół do 12.
[58:25.020 --> 58:27.020]  I jeszcze raz.
[58:27.020 --> 58:29.020]  Lekcja 7.
[58:29.020 --> 58:31.020]  Ćwiczeń 9a.
[58:31.020 --> 58:33.020]  I jeszcze raz.
[58:33.020 --> 58:35.020]  Lekcja 7.
[58:35.020 --> 58:37.020]  Ćwiczeń 9a.
[58:37.020 --> 58:39.020]  Lekcja 7.
[58:39.020 --> 58:41.020]  Ćwiczeń 9a.
[58:41.020 --> 58:43.020]  Lekcja 7.
[58:43.020 --> 58:45.020]  Lekcja 7.
[58:45.020 --> 58:47.020]  Lekcja 7.
[58:47.020 --> 58:49.020]  Lekcja 7.
[58:49.020 --> 58:51.020]  Pięć kibiców 6 Studios
[58:51.020 --> 58:53.020]  Lekcja 7.
[58:53.020 --> 58:55.020]  Lekcja 7.
[58:55.020 --> 58:57.020]  Lekcja 7.
[58:57.020 --> 58:59.020]  Lekcja 7.
[58:59.020 --> 59:01.020]  Lekcja 7.
[59:01.020 --> 59:03.020]  Lekcja 7.
[59:03.020 --> 59:05.020]  Lekcja 7.
[59:05.020 --> 59:07.020]  Lekcja 7.
[59:07.020 --> 59:09.020]  Lekcja 7.
[59:09.020 --> 59:11.020]  Lekcja 7.
[59:11.020 --> 59:13.020]  Lekcja 7.
[59:13.020 --> 59:15.200]  Nie w domu, ale w pracy.
[59:15.920 --> 59:20.760]  Zawsze kupuję kanapkę w małym sklepie spożywczym blisko mojej pracy.
[59:21.580 --> 59:24.260]  Do pracy zwykle jeżdżę tramwajem.
[59:24.880 --> 59:30.280]  Od czasu do czasu, na przykład kiedy jestem spóźniona, jeżdżę taksówką.
[59:31.120 --> 59:37.200]  Jestem asystentką dyrektora i w pracy dużo mailuję i rozmawiam przez telefon.
[59:38.200 --> 59:41.220]  Zawsze w południe robię krótką przerwę.
[59:41.220 --> 59:44.620]  Zwykle chodzę do baru, który jest blisko.
[59:44.860 --> 59:48.220]  Kupuję tam sałatkę albo barszcz czerwony.
[59:48.960 --> 59:51.120]  Wracam do domu po południu.
[59:51.700 --> 59:57.060]  Zwykle jestem w domu około piątej, czasem o wpół do szóstej.
[59:57.660 --> 01:00:02.220]  Po południu trochę oglądam telewizję albo czytam gazetę.
[01:00:03.200 --> 01:00:07.000]  We wtorki zawsze chodzę pływać z przyjaciółką.
[01:00:07.000 --> 01:00:10.900]  Bardzo lubię rozmawiać przez telefon ze znajomymi.
[01:00:10.900 --> 01:00:16.900]  Czasem rozmawiam bardzo długo, dwie albo trzy godziny i jest już wieczór.
[01:00:16.900 --> 01:00:21.900]  Wieczorem chodzę na spacer z przyjacielem, który mieszka blisko mnie.
[01:00:21.900 --> 01:00:23.900]  Czasem biegamy też razem.
[01:00:23.900 --> 01:00:29.900]  Zwykle chodzę spać około jedenastej, no może o wpół do dwunastej.
[01:00:36.900 --> 01:00:37.900]  I jak?
[01:00:37.900 --> 01:00:38.900]  Jeszcze raz.
[01:00:38.900 --> 01:00:39.900]  Jeszcze raz?
[01:00:39.900 --> 01:00:40.400]  Tak.
[01:00:40.900 --> 01:00:41.900]  Tak? Dobra.
[01:00:41.900 --> 01:00:43.900]  I don't think it will help, but...
[01:00:45.900 --> 01:00:51.900]  Możemy też robić przerwy, bo staram się po każdej jednice, żeby zdążyć napisać.
[01:01:01.900 --> 01:01:03.900]  Jak wygląda mój dzień?
[01:01:03.900 --> 01:01:09.900]  Codziennie budzę się o wpół do siódmej, ale wstaję dopiero o siódmej.
[01:01:10.900 --> 01:01:14.900]  A nie, przepraszam, nie codziennie.
[01:01:14.900 --> 01:01:19.900]  W weekendy zawsze śpię długo, do dziewiątej albo dziesiątej.
[01:01:19.900 --> 01:01:22.900]  Jak się urodziłaś?
[01:01:22.900 --> 01:01:27.900]  Biorę prysznic, myję zęby i robię kawę.
[01:01:27.900 --> 01:01:30.900]  Robię też krótką gimnastykę.
[01:01:30.900 --> 01:01:33.900]  Potem piję kawę i planuję dzień.
[01:01:33.900 --> 01:01:35.900]  Jak się urodziłaś?
[01:01:35.900 --> 01:01:37.900]  Śniadanie jem nie w domu, ale w pracy.
[01:01:37.900 --> 01:01:38.900]  Śniadanie jem nie w domu, ale w pracy.
[01:01:38.900 --> 01:01:41.900]  Śniadanie jem nie w domu, ale w pracy.
[01:01:41.900 --> 01:01:46.900]  Zawsze kupuję kanapkę w małym sklepie spożywczym, blisko mojej pracy.
[01:01:46.900 --> 01:01:50.900]  Do pracy zwykle jeżdżę tramwajem.
[01:01:53.900 --> 01:01:59.900]  Od czasu do czasu, na przykład kiedy jestem spóźniona, jeżdżę taksówką.
[01:01:59.900 --> 01:02:07.900]  Jestem asystentką dyrektora i w pracy dużo mailuję i rozmawiam przez telefon.
[01:02:08.900 --> 01:02:14.220]  Zawsze w południe robię krótką przerwę.
[01:02:14.960 --> 01:02:17.560]  Zwykle chodzę do baru, który jest blisko.
[01:02:17.840 --> 01:02:21.180]  Kupuję tam sałatkę albo paszcz czerwony.
[01:02:21.960 --> 01:02:24.060]  Wracam do domu po południu.
[01:02:24.720 --> 01:02:30.040]  Zwykle jestem w domu około piątej, czasem o wpół do szóstej.
[01:02:31.440 --> 01:02:37.040]  Do południu trochę oglądam telewizję albo czytam gazetę.
[01:02:37.040 --> 01:02:41.840]  We wtorki zawsze chodzę pływać z przyjaciółką.
[01:02:42.580 --> 01:02:45.040]  Bardzo lubię rozmawiać przez telefon ze znajomymi.
[01:02:45.940 --> 01:02:52.060]  Czasem rozmawiam bardzo długo, dwie albo trzy godziny i jest już wieczór.
[01:02:55.020 --> 01:02:59.960]  Wieczorem chodzę na spacer z przyjacielem, który mieszka blisko mnie.
[01:03:00.220 --> 01:03:01.800]  Czasem biegamy też razem.
[01:03:03.800 --> 01:03:06.800]  Zwykle chodzę spać około 11 godziny.
[01:03:07.040 --> 01:03:09.380]  No może o wpół do 12.
