"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.000]  Ja mam ten.
[37:50.900 --> 37:52.900]  brać, biorę, bierzesz.
[37:52.900 --> 37:54.900]  Więc jest
[37:54.900 --> 37:56.900]  bardziej nieregularny
[37:56.900 --> 37:58.900]  w obecnym.
[37:58.900 --> 38:00.900]  Ale w pierwszej części możemy powiedzieć, że jest nieregularny.
[38:00.900 --> 38:02.900]  Ok.
[38:02.900 --> 38:04.900]  Ok.
[38:04.900 --> 38:06.900]  Chcesz coś więcej?
[38:06.900 --> 38:08.900]  Czy chcesz coś więcej?
[38:08.900 --> 38:10.900]  Nie.
[38:10.900 --> 38:12.900]  Chcesz coś więcej?
[38:12.900 --> 38:14.900]  Chcesz coś?
[38:14.900 --> 38:16.900]  Chcesz coś?
[38:16.900 --> 38:18.900]  Chodźmy.
[38:18.900 --> 38:20.900]  Mamy tutaj tą
[38:20.900 --> 38:22.900]  pierwszą część, którą zmienimy.
[38:22.900 --> 38:24.900]  I mamy coś innego.
[38:24.900 --> 38:26.900]  I ty powiedziałeś, że to jest dlatego, że...
[38:26.900 --> 38:28.900]  Nie.
[38:28.900 --> 38:30.900]  Bo w tej sytuacji
[38:30.900 --> 38:32.900]  inny aspekt formy
[38:32.900 --> 38:34.900]  jest wziąć.
[38:34.900 --> 38:36.900]  Brać
[38:36.900 --> 38:38.900]  i wziąć.
[38:38.900 --> 38:40.900]  To jest zupełnie inna rzecz.
[38:40.900 --> 38:42.900]  Ale
[38:42.900 --> 38:44.900]  jest w perle.
[38:44.900 --> 38:46.900]  Ok?
[38:46.900 --> 38:48.900]  Bo te wersy
[38:48.900 --> 38:50.900]  są w perle.
[38:50.900 --> 38:52.900]  Czytać, przeczytać.
[38:52.900 --> 38:54.900]  Pisać, napisać.
[38:54.900 --> 38:56.900]  Spotkać, spotykać.
[38:56.900 --> 38:58.900]  To jest wers.
[38:58.900 --> 39:00.900]  I to jest wers
[39:00.900 --> 39:02.900]  kiedy wykończysz.
[39:02.900 --> 39:04.900]  Tak.
[39:04.900 --> 39:06.900]  To jest jakby...
[39:06.900 --> 39:08.900]  Jakby wykończyłem.
[39:08.900 --> 39:10.900]  Jakby, na przykład, ja biorę...
[39:10.900 --> 39:12.900]  O, co możemy wziąć?
[39:12.900 --> 39:14.900]  Krzysztof, wiesz...
[39:14.900 --> 39:16.900]  Ja wziąłem klasę.
[39:16.900 --> 39:18.900]  Ok, możemy wziąć...
[39:18.900 --> 39:20.900]  Nie.
[39:20.900 --> 39:22.900]  Nie, bo nie używamy tego słowa w polskim.
[39:22.900 --> 39:24.900]  Ale możemy wziąć
[39:24.900 --> 39:26.900]  piłkę, którą jest
[39:26.900 --> 39:28.900]  brać, krzyż.
[39:28.900 --> 39:30.900]  Więc, na przykład, w każdy dzień
[39:30.900 --> 39:32.900]  wziąłem piłkę,
[39:32.900 --> 39:34.900]  ale dzisiaj
[39:34.900 --> 39:36.900]  nie wziąłem.
[39:36.900 --> 39:38.900]  Nie wziąłem.
[39:38.900 --> 39:40.900]  To jest jakby...
[39:40.900 --> 39:42.900]  W każdym razie jest to wydarzenie,
[39:42.900 --> 39:44.900]  brać,
[39:44.900 --> 39:46.900]  ale to jest jakby jedno.
[39:46.900 --> 39:48.900]  Wziąć.
[39:48.900 --> 39:50.900]  Ok, więc na przykład,
[39:50.900 --> 39:52.900]  w każdy dzień wziąłem piłkę w nocy.
[39:52.900 --> 39:54.900]  Tak.
[39:54.900 --> 39:56.900]  Ok?
[39:56.900 --> 39:58.900]  Ale dzisiaj wziąłem piłkę w nocy.
[39:58.900 --> 40:00.900]  Czyli...
[40:00.900 --> 40:02.900]  Wziąłem piłkę w nocy.
[40:02.900 --> 40:04.900]  Ale dzisiaj wziąłem ramę.
[40:04.900 --> 40:06.900]  To jest tylko
[40:06.900 --> 40:08.900]  dodatkowe.
[40:08.900 --> 40:10.900]  Więc, kiedy mówisz
[40:10.900 --> 40:12.900]  wziąć, to jest to
[40:12.900 --> 40:14.900]  również w tle obecnym? Nie mogę to używać w tle obecnym?
[40:14.900 --> 40:16.900]  Albo mogę to użyć?
[40:16.900 --> 40:18.900]  Nie.
[40:18.900 --> 40:20.900]  Nie, prawda? Mogę to tylko użyć w tle przeszłości?
[40:20.900 --> 40:22.900]  W przyszłości.
[40:22.900 --> 40:24.900]  W przyszłości.
[40:24.900 --> 40:26.900]  Więc...
[40:26.900 --> 40:28.900]  To byłoby niebezpieczne,
[40:28.900 --> 40:30.900]  że w każdym razie,
[40:30.900 --> 40:32.900]  gdy wziąłem piłkę w nocy,
[40:32.900 --> 40:34.900]  to byłoby niebezpieczne,
[40:34.900 --> 40:36.900]  żeby powiedzieć brałem
[40:36.900 --> 40:38.900]  prysznicz?
[40:38.900 --> 40:40.900]  To jest ok.
[40:40.900 --> 40:42.900]  Więc dlaczego bym to użył?
[40:42.900 --> 40:44.900]  Ale...
[40:44.900 --> 40:46.900]  So dzienie brałem prysznicz,
[40:46.900 --> 40:48.900]  ale dzisiaj
[40:48.900 --> 40:50.900]  wziąłem
[40:50.900 --> 40:52.900]  prysznicz.
[40:52.900 --> 40:54.900]  Nie wziąłem prysznicz.
[40:54.900 --> 40:56.900]  Nie wziąłem prysznicz.
[40:56.900 --> 40:58.900]  Wzajemnie.
[40:58.900 --> 41:00.900]  Zdjęcia są dla mnie.
[41:00.900 --> 41:02.900]  Więc jeśli mówisz,
[41:02.900 --> 41:04.900]  że jesteś na telefonie
[41:04.900 --> 41:06.900]  i ktoś zapyta, co dzisiaj zrobiłeś,
[41:06.900 --> 41:08.900]  to mówisz
[41:08.900 --> 41:10.900]  wziąłem prysznicz?
[41:10.900 --> 41:12.900]  Tak.
[41:12.900 --> 41:14.900]  Więc to jest tak,
[41:14.900 --> 41:16.900]  że wziąłem.
[41:16.900 --> 41:18.900]  Zostawiłem,
[41:18.900 --> 41:20.900]  wziąłem coś.
[41:20.900 --> 41:22.900]  Więc to jest prawie
[41:22.900 --> 41:24.900]  bardziej używane niż
[41:24.900 --> 41:26.900]  wziąłem prysznicz w przeszłości.
[41:26.900 --> 41:28.900]  Często ludzie mówią, że
[41:28.900 --> 41:30.900]  nie wziąłem prysznicz.
[41:30.900 --> 41:32.900]  Powiem, że to jest bardziej używane.
[41:32.900 --> 41:34.900]  Zamiast tego,
[41:34.900 --> 41:36.900]  kiedy nawet powiedziałbyś
[41:36.900 --> 41:38.900]  wiała?
[41:38.900 --> 41:40.900]  Dlaczego to powiedziałbyś?
[41:40.900 --> 41:42.900]  Hmm?
[41:42.900 --> 41:44.900]  Kiedy chcę
[41:44.900 --> 41:46.900]  podkreślić, że
[41:46.900 --> 41:48.900]  wziąłem coś cały czas,
[41:48.900 --> 41:50.900]  każdego dnia.
[41:50.900 --> 41:52.900]  Tak.
[41:52.900 --> 41:54.900]  Ale zwykle mówisz o tym,
[41:54.900 --> 41:56.900]  szczególnie teraz,
[41:56.900 --> 41:58.900]  że nie wziąłem prysznicz,
[41:58.900 --> 42:00.900]  ale mówisz o tym,
[42:00.900 --> 42:02.900]  że wziąłem prysznicz w przeszłości.
[42:02.900 --> 42:04.900]  Ale to jest dobry pytanie.
[42:04.900 --> 42:06.900]  Nie mamy wziąłem w obecnym.
[42:06.900 --> 42:08.900]  To nie jest w przeszłości,
[42:08.900 --> 42:10.900]  to jest w przeszłości.
[42:10.900 --> 42:12.900]  To jest tylko kolejne pytanie.
[42:12.900 --> 42:14.900]  Ale myślę, że nie.
[42:14.900 --> 42:16.900]  Ale w całym pracy...
[42:16.900 --> 42:18.900]  Ale w całym pracy,
[42:18.900 --> 42:20.900]  czy tak?
[42:20.900 --> 42:22.900]  Potem,
[42:22.900 --> 42:24.900]  później,
[42:24.900 --> 42:26.900]  potem,
[42:26.900 --> 42:28.900]  potem pół godziny
[42:28.900 --> 42:30.900]  prysznic.
[42:30.900 --> 42:32.900]  Tak? Potem pół godziny
[42:32.900 --> 42:34.900]  bram prysznic.
[42:34.900 --> 42:36.900]  So we want to emphasize that shower took him half an hour.
[42:36.900 --> 42:38.900]  Next.
[42:38.900 --> 42:40.900]  Oh, it took an hour.
[42:40.900 --> 42:42.900]  Bram.
[42:42.900 --> 42:44.900]  Pysznic. Taking a shower.
[42:44.900 --> 42:46.900]  Ok. So the reason it's correct is
[42:46.900 --> 42:48.900]  because it's like it took an hour taking a shower.
[42:48.900 --> 42:50.900]  So instead,
[42:50.900 --> 42:52.900]  but you could have just said
[42:52.900 --> 42:54.900]  potem, potem wiało.
[42:54.900 --> 42:56.900]  Pław.
[42:56.900 --> 42:58.900]  Pijalo.
[42:58.900 --> 43:00.900]  Wziął.
[43:00.900 --> 43:02.900]  Wziął.
[43:02.900 --> 43:04.900]  Potem wziął prysznic.
[43:04.900 --> 43:06.900]  Like that's a simple way of saying next,
[43:06.900 --> 43:08.900]  you took a shower.
[43:08.900 --> 43:10.900]  Yes.
[43:10.900 --> 43:12.900]  Yeah.
[43:12.900 --> 43:14.900]  Yeah.
[43:14.900 --> 43:16.900]  They added it took an hour.
[43:16.900 --> 43:18.900]  Took an hour to take a shower.
[43:18.900 --> 43:20.900]  That's what we're using.
[43:20.900 --> 43:22.900]  We're using that.
[43:22.900 --> 43:24.900]  Bram. Bram.
[43:24.900 --> 43:26.900]  Załóż.
[43:26.900 --> 43:28.900]  Przewiń.
[43:28.900 --> 43:30.900]  Przewiń.
[43:30.900 --> 43:32.900]  Przewiń.
[43:32.900 --> 43:34.900]  Przewiń się.
[43:34.900 --> 43:36.900]  Przewiń się.
[43:36.900 --> 43:38.900]  Przewiń się.
[43:38.900 --> 43:40.900]  No. Ok.
[43:40.900 --> 43:42.900]  Dołże.
[43:42.900 --> 43:44.900]  Dołże.
[43:44.900 --> 43:46.900]  Dołże.
[43:46.900 --> 43:48.900]  Dołże.
[43:48.900 --> 43:50.900]  Ok. Więc mamy pracę po francusku
[43:50.900 --> 43:52.900]  oraz to są dwie warsztaty francuskie,
[43:52.900 --> 43:54.900]  zatem zresztą.
[43:54.900 --> 44:00.900]  I will send it to you tomorrow evening, so you will have time to check it.
[44:09.900 --> 44:12.900]  No to wracamy.
[44:12.900 --> 44:25.900]  Dobra, to zrobię tak. Strona 3, zadanie 3. Czyli tutaj. Strona 3, zadanie 3.
[44:31.900 --> 44:41.900]  Proszę napisać, co Państwo robili wczoraj wieczorem, dziś rano, poniedziałek wieczorem.
[44:42.900 --> 44:44.900]  Wczoraj po południu i wczoraj.
[44:47.900 --> 44:50.900]  OK? I if it's right, what did you do?
[44:50.900 --> 44:52.900]  Strona 3, zadanie 3.
[45:12.900 --> 45:29.900]  Strona 3, zadanie 3.
[45:29.900 --> 45:34.900]  I?
[45:34.900 --> 45:37.900]  Strona 3, zadanie 3.
[45:37.900 --> 45:39.900]  Zadanie 3.
[45:39.900 --> 45:41.900]  Strona 3, zadanie 3.
[45:41.900 --> 45:42.900]  Strona 2, zadanie 3.
[45:42.900 --> 45:44.900]  Dziękuję.
[46:12.900 --> 46:14.900]  Dziękuję.
[46:42.900 --> 46:44.900]  Dziękuję.
[47:12.900 --> 47:14.900]  Dziękuję.
[47:42.900 --> 47:44.900]  Dziękuję.
[48:12.900 --> 48:14.900]  Dziękuję.
[48:42.900 --> 48:44.900]  Dziękuję.
[49:12.900 --> 49:14.900]  Dziękuję.
[49:42.900 --> 49:44.900]  Dziękuję.
[50:12.900 --> 50:14.900]  Dziękuję.
[50:42.900 --> 50:44.900]  Dziękuję.
[51:12.900 --> 51:14.900]  Dziękuję.
[51:42.900 --> 51:44.900]  Dziękuję.
[52:12.900 --> 52:14.900]  Dziękuję.
[52:34.900 --> 52:36.900]  Udało się?
[52:36.900 --> 52:38.900]  Już koniec czy jeszcze nie?
[52:42.900 --> 52:44.900]  Nie.
[53:12.900 --> 53:14.900]  Dziękuję.
[53:40.900 --> 53:42.900]  Kto skończył?
[53:42.900 --> 53:44.900]  Tak.
[53:44.900 --> 53:46.900]  Powiedz.
[53:46.900 --> 53:48.900]  Tak?
[53:48.900 --> 53:50.900]  Dobrze.
[53:50.900 --> 53:52.900]  No to...
[53:52.900 --> 53:54.900]  Dobra.
[53:54.900 --> 53:56.900]  Kto odpowiadał co robił wczoraj wieczorem?
[53:56.900 --> 53:58.900]  Nie.
[53:58.900 --> 54:00.900]  Nie.
[54:00.900 --> 54:02.900]  Nie.
[54:02.900 --> 54:04.900]  Nie.
[54:04.900 --> 54:06.900]  Nie.
[54:06.900 --> 54:08.900]  Nie.
[54:08.900 --> 54:10.900]  Nie.
[54:10.900 --> 54:12.900]  Nie.
[54:12.900 --> 54:14.900]  Nie.
[54:14.900 --> 54:16.900]  Dlaczego?
[54:16.900 --> 54:18.900]  Wczoraj, wczoraj gotowałem kolację.
[54:18.900 --> 54:20.900]  Ok.
[54:20.900 --> 54:22.900]  Co była na kolację?
[54:22.900 --> 54:24.900]  Ryż.
[54:24.900 --> 54:26.900]  Ok. I?
[54:26.900 --> 54:28.900]  Ryż i...
[54:28.900 --> 54:30.900]  Ryż z czym?
[54:30.900 --> 54:32.900]  Ryż z czym?
[54:32.900 --> 54:34.900]  Ryż.
[54:34.900 --> 54:36.900]  Ryż z czym?
[54:36.900 --> 54:38.900]  Ryż z czym?
[54:38.900 --> 54:40.900]  Z warzywami.
[54:40.900 --> 54:42.900]  Z warzywami?
[54:42.900 --> 54:43.900]  Nie.
[54:43.900 --> 54:45.900]  Jakie chybacz mamy?
[54:48.900 --> 54:49.900]  Cebula.
[54:49.900 --> 54:50.900]  Z cebulą?
[54:52.900 --> 54:58.900]  To nie jest tylko wegetaria, masz je w korek.
[54:58.900 --> 55:02.900]  Masz korek z cebul.
[55:04.900 --> 55:06.900]  Czy cebula ma cebulę?
[55:06.900 --> 55:07.900]  Tak.
[55:07.900 --> 55:09.900]  Ale ja nie lubię.
[55:09.900 --> 55:11.900]  Dobrze.
[55:12.900 --> 55:14.900]  A pan co robi wczoraj, wieczorem?
[55:16.900 --> 55:18.900]  Wieczorem...
[55:18.900 --> 55:20.900]  Ogłan...
[55:20.900 --> 55:23.900]  Ogłan dał mi Netflix.
[55:23.900 --> 55:25.900]  Netflixa?
[55:27.900 --> 55:29.900]  Film czy seria?
[55:29.900 --> 55:31.900]  Seria.
[55:31.900 --> 55:33.900]  Dzięki.
[55:36.900 --> 55:39.900]  1670 to polskie.
[55:39.900 --> 55:40.900]  O, naprawdę?
[55:40.900 --> 55:41.900]  Ok.
[55:42.900 --> 55:43.900]  Ulaan.
[55:43.900 --> 55:45.900]  Ulaan, nice.
[55:45.900 --> 55:48.900]  Ale ja nie chcę, żebyś miał pożar, więc nazywam 1670.
[55:48.900 --> 55:49.900]  Ok.
[55:49.900 --> 55:50.900]  Nice.
[55:50.900 --> 55:51.900]  Ok.
[55:51.900 --> 55:52.900]  Bo nie wiem jak to powiedzieć.
[55:52.900 --> 55:55.900]  Ok, to oglądamy serial.
[55:55.900 --> 55:56.900]  Serial.
[55:56.900 --> 56:01.900]  Na Netflix.
[56:01.900 --> 56:02.900]  Serial.
[56:02.900 --> 56:03.900]  Ok.
[56:03.900 --> 56:04.900]  Ok.
[56:04.900 --> 56:05.900]  Dobrze.
[56:05.900 --> 56:06.900]  A co pan robi dziś rano?
[56:06.900 --> 56:07.900]  Nie wiem.
[56:07.900 --> 56:08.900]  Nie wiem.
[56:08.900 --> 56:09.900]  Nie wiem.
[56:09.900 --> 56:10.900]  Nie wiem.
[56:10.900 --> 56:11.900]  Nie wiem.
[56:11.900 --> 56:12.900]  Dobra.
[56:12.900 --> 56:13.900]  Dobra, co pan robi dziś rano?
[56:13.900 --> 56:25.900]  Dziś rano pracowałem i ćwiczyłem.
[56:25.900 --> 56:26.900]  Dobra.
[56:26.900 --> 56:27.900]  Co pan ćwiczył?
[56:27.900 --> 56:29.900]  Co?
[56:29.900 --> 56:30.900]  Co?
[56:30.900 --> 56:31.900]  Co?
[56:31.900 --> 56:32.900]  Co?
[56:32.900 --> 56:33.900]  Co?
[56:33.900 --> 56:34.900]  Co?
[56:34.900 --> 56:35.900]  Co?
[56:35.900 --> 56:36.900]  Co?
[56:36.900 --> 56:37.900]  Co?
[56:37.900 --> 56:38.900]  Co?
[56:38.900 --> 56:39.900]  Co?
[56:39.900 --> 56:53.900]  Co?
[56:53.900 --> 56:54.900]  Co?
[56:54.900 --> 56:55.900]  Co?
[56:55.900 --> 56:56.900]  Co?
[56:56.900 --> 56:57.900]  Co?
[56:57.900 --> 56:58.900]  Co?
[56:58.900 --> 56:59.900]  Co?
[56:59.900 --> 57:00.900]  Co?
[57:00.900 --> 57:01.900]  Co?
[57:01.900 --> 57:02.900]  Co?
[57:02.900 --> 57:03.900]  Co?
[57:03.900 --> 57:04.900]  Co?
[57:04.900 --> 57:05.900]  Co?
[57:05.900 --> 57:06.900]  Co?
[57:06.900 --> 57:07.900]  Co?
[57:07.900 --> 57:08.900]  Que?
[57:08.900 --> 57:10.900]  Czyli?
[57:10.900 --> 57:14.900]  O, i tu jest prawda, że jest jakaś cerwona.
[57:14.900 --> 57:16.900]  Wziął.
[57:16.900 --> 57:18.900]  Wziął. Ok, a jak będzie?
[57:18.900 --> 57:20.900]  Ja co zrobiłem?
[57:20.900 --> 57:22.900]  Wziął.
[57:22.900 --> 57:26.900]  Ja wziąłem, to będzie rodzaj męski, a rodzaj żeński?
[57:26.900 --> 57:28.900]  Wziął.
[57:28.900 --> 57:30.900]  Wzięłam.
[57:30.900 --> 57:32.900]  Wzięłam.
[57:32.900 --> 57:36.900]  That's why it's a regular word.
[57:36.900 --> 57:38.900]  So we can put it somewhere.
[57:38.900 --> 57:40.900]  Dobrze, czyli Pani wzięła.
[57:40.900 --> 57:42.900]  Wzięłam.
[57:42.900 --> 57:44.900]  Wzięłam.
[57:44.900 --> 57:46.900]  Wzięłam.
[57:46.900 --> 57:48.900]  Wzięłam.
[57:48.900 --> 57:50.900]  Dobrze.
[57:50.900 --> 57:52.900]  Ok, czyli wzięłam.
[57:52.900 --> 57:54.900]  Ok.
[57:54.900 --> 57:56.900]  Czyli wzięłam na lekcję polskiego.
[57:56.900 --> 57:58.900]  Ok, wzięłam.
[57:58.900 --> 58:00.900]  Dobrze.
[58:00.900 --> 58:06.900]  It's hard to express what you do.
[58:06.900 --> 58:08.900]  I you do it when you do it.
[58:08.900 --> 58:10.900]  Because there is more than one.
[58:10.900 --> 58:12.900]  But ok.
[58:12.900 --> 58:14.900]  Dobrze.
[58:14.900 --> 58:16.900]  Co było wczoraj?
[58:16.900 --> 58:18.900]  Wczoraj po południu.
[58:18.900 --> 58:20.900]  Wczoraj po południu.
[58:20.900 --> 58:22.900]  Wczoraj po południu.
[58:22.900 --> 58:24.900]  Wczoraj po południu.
[58:24.900 --> 58:26.900]  Wczoraj po południu.
[58:26.900 --> 58:28.900]  Wczoraj po południu.
[58:28.900 --> 58:30.900]  Grałem gitarę.
[58:30.900 --> 58:32.900]  Gitarę.
[58:32.900 --> 58:34.900]  Gitarę.
[58:34.900 --> 58:36.900]  Gitarę.
[58:36.900 --> 58:38.900]  Na.
[58:38.900 --> 58:40.900]  Na.
[58:40.900 --> 58:42.900]  Na.
[58:42.900 --> 58:44.900]  Na.
[58:44.900 --> 58:46.900]  Na gitarze.
[58:46.900 --> 58:48.900]  Na gitarze.
[58:48.900 --> 58:50.900]  No ending, that changes for that guitar?
[58:50.900 --> 58:52.900]  No ending, that changes for that guitar?
[58:52.900 --> 58:54.900]  No.
[58:54.900 --> 58:56.900]  Is that just a...
[58:56.900 --> 58:58.900]  That's not like a...
[58:58.900 --> 59:00.900]  That's not like a...
[59:00.900 --> 59:02.900]  Gitar.
[59:02.900 --> 59:04.900]  I mean that's just a regular ending.
[59:04.900 --> 59:06.900]  I mean that's just a regular ending.
[59:06.900 --> 59:10.900]  To jest słowo, które nie wiemy.
[59:10.900 --> 59:14.900]  To jest słowo, które nie wiemy.
[59:14.900 --> 59:18.900]  Ale to jest jedyne słowo, które nie wiemy.
[59:18.900 --> 59:22.900]  Tak jak grałem na dystansie.
[59:22.900 --> 59:26.900]  Grałem na pianinie.
[59:26.900 --> 59:30.900]  Grałem na pianinie.
[59:30.900 --> 59:34.900]  Grałem na... i nie wiemy.
[59:34.900 --> 59:38.900]  Tak jest.
[59:38.900 --> 59:42.900]  Dobrze. Co kontraba?
[59:42.900 --> 59:46.900]  Co to jest?
[59:50.900 --> 59:54.900]  Sklep.
[59:54.900 --> 59:58.900]  Dobrze. A pan chce robić czorek?
[59:58.900 --> 01:00:02.900]  Alby wczoraj wyczoraj.
[01:00:02.900 --> 01:00:04.900]  To samo.
[01:00:04.900 --> 01:00:08.900]  Aha.
[01:00:08.900 --> 01:00:10.900]  Dobrze. A jutro wieczorem?
[01:00:10.900 --> 01:00:12.900]  A jutro wieczorem?
[01:00:12.900 --> 01:00:14.900]  Yyy...
[01:00:14.900 --> 01:00:18.900]  Ok, czy tylko...
[01:00:18.900 --> 01:00:20.900]  Aha, wczoraj wieczorem, październik, wieczorem, wczoraj południu, to samo.
[01:00:20.900 --> 01:00:22.900]  Nie ważne.
[01:00:22.900 --> 01:00:24.900]  A wczoraj rano?
[01:00:24.900 --> 01:00:26.900]  Wczoraj rano.
[01:00:26.900 --> 01:00:28.900]  Yyy...
[01:00:28.900 --> 01:00:32.900]  Wziąłem węch w świetlicę i jadłem śniadanie.
[01:00:32.900 --> 01:00:34.900]  Ok.
[01:00:34.900 --> 01:00:36.900]  Super.
[01:00:36.900 --> 01:00:38.900]  Dobra. Dobrze.
[01:00:38.900 --> 01:00:40.900]  A co padło w weekend?
[01:00:40.900 --> 01:00:44.900]  W weekend...
[01:00:44.900 --> 01:00:46.900]  w weekend...
[01:00:46.900 --> 01:00:48.900]  w weekend...
[01:00:48.900 --> 01:00:50.900]  w weekend...
[01:00:50.900 --> 01:00:52.900]  w weekend...
[01:00:52.900 --> 01:00:54.900]  w weekend...
[01:00:54.900 --> 01:00:56.900]  w weekend...
[01:00:56.900 --> 01:00:58.900]  pracowałem.
[01:00:58.900 --> 01:01:00.900]  Pracowałeś w weekend?
[01:01:00.900 --> 01:01:02.900]  Czasami tak.
[01:01:02.900 --> 01:01:04.900]  Ok.
[01:01:04.900 --> 01:01:06.900]  Dobra. Gdzie pan robi zakupy?
[01:01:06.900 --> 01:01:08.900]  A... w Lidlu.
[01:01:08.900 --> 01:01:10.900]  Lidlu?
[01:01:10.900 --> 01:01:12.900]  Ok.
[01:01:12.900 --> 01:01:14.900]  W Lidlu?
[01:01:14.900 --> 01:01:16.900]  W Lidlu, tak, tak, tak.
[01:01:16.900 --> 01:01:18.900]  Jestem w Lidlu, you say, or...
[01:01:18.900 --> 01:01:20.900]  do Lidlu?
[01:01:20.900 --> 01:01:22.900]  Idę do Lidla.
[01:01:22.900 --> 01:01:24.900]  Idę do Lidla.
[01:01:24.900 --> 01:01:26.900]  I tam...
[01:01:26.900 --> 01:01:28.900]  Jestem w Lidlu.
[01:01:28.900 --> 01:01:30.900]  Jestem w Lidlu i kupuję na Lidlu.
[01:01:30.900 --> 01:01:32.900]  Kupuję w Lidlu.
[01:01:32.900 --> 01:01:34.900]  Kupuję w Lidlu.
[01:01:34.900 --> 01:01:36.900]  Idę do Lidlu.
[01:01:36.900 --> 01:01:38.900]  Ok. A pani co robi w weekend?
[01:01:38.900 --> 01:01:40.900]  Ok.
[01:01:40.900 --> 01:01:42.900]  Tak.
[01:01:42.900 --> 01:01:44.900]  Obrężam...
[01:01:44.900 --> 01:01:46.900]  kinie.
[01:01:46.900 --> 01:01:48.900]  Hmm...
[01:01:48.900 --> 01:01:50.900]  Hmm...
[01:01:50.900 --> 01:01:52.900]  A co pani oglądała?
[01:01:52.900 --> 01:01:54.900]  Gdzieś...
[01:01:54.900 --> 01:01:56.900]  Gdzieś...
[01:01:56.900 --> 01:01:58.900]  Gdzieś...
[01:01:58.900 --> 01:02:00.900]  Kiss.
[01:02:00.900 --> 01:02:02.900]  With my kids.
[01:02:02.900 --> 01:02:04.900]  Oglądałam... a co?
[01:02:04.900 --> 01:02:06.900]  Film.
[01:02:06.900 --> 01:02:08.900]  Kinie.
[01:02:08.900 --> 01:02:10.900]  Kinie.
[01:02:10.900 --> 01:02:12.900]  Ok, but you watch a movie.
[01:02:12.900 --> 01:02:14.900]  Film. Film.
[01:02:14.900 --> 01:02:16.900]  W kinie.
[01:02:16.900 --> 01:02:18.900]  Ok.
[01:02:18.900 --> 01:02:20.900]  Oglądałam co?
[01:02:20.900 --> 01:02:22.900]  So I watch a movie.
[01:02:22.900 --> 01:02:24.900]  Oglądałam film w kinie.
[01:02:24.900 --> 01:02:26.900]  Dobrze.
[01:02:26.900 --> 01:02:28.900]  Ok, I have a quick question.
[01:02:28.900 --> 01:02:30.900]  So you are saying...
[01:02:30.900 --> 01:02:32.900]  So sometimes in the movie theaters they have like
[01:02:32.900 --> 01:02:34.900]  kinah.
[01:02:34.900 --> 01:02:36.900]  They won't have kinie.
[01:02:36.900 --> 01:02:38.900]  They will have kinah.
[01:02:38.900 --> 01:02:40.900]  But that is also what is going on over here.
[01:02:40.900 --> 01:02:42.900]  But that is also what is going on over here.
[01:02:42.900 --> 01:02:44.900]  Hmm...
[01:02:44.900 --> 01:02:46.900]  Hmm...
[01:02:46.900 --> 01:02:48.900]  Ok.
[01:02:48.900 --> 01:02:50.900]  Ok.
[01:02:50.900 --> 01:02:52.900]  Ok.
[01:02:52.900 --> 01:02:54.900]  Ok.
[01:02:54.900 --> 01:02:56.900]  Hmm...
[01:02:56.900 --> 01:02:58.900]  Oh...
[01:02:58.900 --> 01:03:00.900]  Hmm...
[01:03:00.900 --> 01:03:02.900]  Tak, ok.
[01:03:02.900 --> 01:03:04.900]  Tak, ok.
[01:03:04.900 --> 01:03:06.900]  Ale gdzie...
[01:03:06.900 --> 01:03:08.900]  Gdzie jest...
[01:03:08.900 --> 01:03:10.900]  Gdzie jest...
[01:03:10.900 --> 01:03:12.900]  Gdzie jest kinie...
[01:03:12.900 --> 01:03:14.900]  Gdzie jest kinie...
[01:03:14.900 --> 01:03:16.900]  Gdzie jest kinie...
[01:03:16.900 --> 01:03:18.900]  Tak...
[01:03:18.900 --> 01:03:20.900]  Ok.
[01:03:20.900 --> 01:03:22.900]  Ok...
[01:03:22.900 --> 01:03:24.900]  Tak, ok.
[01:03:24.900 --> 01:03:26.900]  Tak, ok.
[01:03:26.900 --> 01:03:28.900]  Dzięki.
[01:03:28.900 --> 01:03:30.900]  Dlaczego to jest złote?
[01:03:30.900 --> 01:03:32.900]  Hmm?
[01:03:32.900 --> 01:03:34.900]  Jak to jest, jak to jest, jak to jest?
[01:03:34.900 --> 01:03:36.900]  Hmm.
[01:03:36.900 --> 01:03:38.900]  Może nie jesteśmy w stanie to wyjaśnić.
[01:03:38.900 --> 01:03:40.900]  Nie, nie, nie.
[01:03:48.900 --> 01:03:52.900]  Dobra, to już wiemy, że to jest coś, czego jeszcze nie znamy.
[01:03:52.900 --> 01:03:54.900]  Nie znamy tego jeszcze.
[01:03:54.900 --> 01:03:56.900]  Ale mogę powiedzieć, że to jest miejsce.
[01:03:56.900 --> 01:03:58.900]  Złoty. Jaki to przypadek?
